"ROW.GROUP","ANOVA"
"A2-E2","7.09e-05"
"A3-E3","1.95e-04"
"A4-E4","3.56e-04"
"A5-E5","1.07e-02"
"A6-E6","1.28e-04"
"A7-E7","1.61e-04"
"A8-E8","1.63e-03"
"B2-F2","1.43e-02"
"B3-F3","1.55e-03"
"B4-F4","1.27e-03"
"B5-F5","4.89e-05"
"B6-F6","1.02e-03"
"B7-F7","6.16e-04"
"B8-F8","1.11e-04"
"C2-G2","6.82e-05"
"C3-G3","5.82e-04"
"C4-G4","1.22e-03"
"C5-G5","1.80e-03"
"C6-G6","5.60e-05"
"C7-G7","1.45e-02"
"C8-G8","1.86e-01"
"D2-H2","1.27e-02"
"D3-H3","1.72e-04"
"D4-H4","1.24e-03"
"D5-H5","4.93e-05"
"D6-H6","2.07e-03"
"D7-H7","6.50e-04"
"D8-H8","1.63e-03"
