"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"1","A2.E2.PLATE.1.NEW","A2.E2.PLATE.1.OLD","A2.E2.PLATE.2.NEW","A2.E2.PLATE.2.OLD","A2.E2.PLATE.3.NEW","A2.E2.PLATE.3.OLD","A2.E2.PLATE.4.NEW"
"A2-E2-PLATE 1-OLD","0.256729768085577",NA,NA,NA,NA,NA,NA
"A2-E2-PLATE 2-NEW","0.0469268579894435","0.0078461885410725",NA,NA,NA,NA,NA
"A2-E2-PLATE 2-OLD","0.025367823560367","0.00499058305941188","0.675314782548925",NA,NA,NA,NA
"A2-E2-PLATE 3-NEW","0.000376435660866722","0.00015546242256006","0.00232038001035854","0.00341066084360567",NA,NA,NA
"A2-E2-PLATE 3-OLD","0.00015546242256006","0.00015546242256006","0.000777685162651127","0.00105941451949692","0.239112463463188",NA,NA
"A2-E2-PLATE 4-NEW","0.00975841519638724","0.00232038001035854","0.325826646593136","0.526156776111807","0.00773315106673157","0.00188233461301627",NA
"A2-E2-PLATE 4-OLD","0.108516257678939","0.0157718420688679","0.605367379978407","0.385374484386364","0.0015071460943024","0.000524575750683893","0.162150781316748"
"2","A3.E3.PLATE.1.NEW","A3.E3.PLATE.1.OLD","A3.E3.PLATE.2.NEW","A3.E3.PLATE.2.OLD","A3.E3.PLATE.3.NEW","A3.E3.PLATE.3.OLD","A3.E3.PLATE.4.NEW"
"A3-E3-PLATE 1-OLD","0.19836667674155",NA,NA,NA,NA,NA,NA
"A3-E3-PLATE 2-NEW","0.0324776600661291","0.00497785160436636",NA,NA,NA,NA,NA
"A3-E3-PLATE 2-OLD","0.283385274118832","0.0395745629125703","0.167068577668645",NA,NA,NA,NA
"A3-E3-PLATE 3-NEW","0.000515819229735942","0.000414590373971103","0.00399284735722799","0.00100499551715482",NA,NA,NA
"A3-E3-PLATE 3-OLD","0.00100499551715482","0.000515819229735942","0.0183010310060028","0.00331812187238156","0.241341475576042",NA,NA
"A3-E3-PLATE 4-NEW","0.0324776600661291","0.00501380620510373","0.94504852997878","0.176835362516452","0.00399284735722799","0.0177497816521274",NA
"A3-E3-PLATE 4-OLD","0.241341475576042","0.0324776600661291","0.194141948471857","0.904987086763843","0.00100499551715482","0.00356087901832519","0.19836667674155"
"3","A4.E4.PLATE.1.NEW","A4.E4.PLATE.1.OLD","A4.E4.PLATE.2.NEW","A4.E4.PLATE.2.OLD","A4.E4.PLATE.3.NEW","A4.E4.PLATE.3.OLD","A4.E4.PLATE.4.NEW"
"A4-E4-PLATE 1-OLD","0.606449343430497",NA,NA,NA,NA,NA,NA
"A4-E4-PLATE 2-NEW","0.0287676094623514","0.0141346079768606",NA,NA,NA,NA,NA
"A4-E4-PLATE 2-OLD","0.434919317927539","0.235671902640171","0.0893982071731092",NA,NA,NA,NA
"A4-E4-PLATE 3-NEW","0.000894931957233717","0.000894931957233717","0.00659982729555307","0.00109903843759427",NA,NA,NA
"A4-E4-PLATE 3-OLD","0.0014054976926549","0.00109903843759427","0.0287676094623514","0.00285024763399626","0.27041581970153",NA,NA
"A4-E4-PLATE 4-NEW","0.0610350904039636","0.0287676094623514","0.587627008730258","0.212024382762121","0.00330590833817847","0.0141346079768606",NA
"A4-E4-PLATE 4-OLD","0.0940120610691946","0.0459997154638094","0.4155350637862","0.305507839262785","0.00285024763399626","0.00988716411833803","0.73668026409664"
"4","A5.E5.PLATE.1.NEW","A5.E5.PLATE.1.OLD","A5.E5.PLATE.2.NEW","A5.E5.PLATE.2.OLD","A5.E5.PLATE.3.NEW","A5.E5.PLATE.3.OLD","A5.E5.PLATE.4.NEW"
"A5-E5-PLATE 1-OLD","0.953472865251796",NA,NA,NA,NA,NA,NA
"A5-E5-PLATE 2-NEW","0.438593878958789","0.405503953410542",NA,NA,NA,NA,NA
"A5-E5-PLATE 2-OLD","0.469611036759051","0.440647178526058","0.951701573739752",NA,NA,NA,NA
"A5-E5-PLATE 3-NEW","0.0198395813899058","0.0198395813899058","0.0286105727423981","0.0273032695547696",NA,NA,NA
"A5-E5-PLATE 3-OLD","0.0273032695547696","0.0273032695547696","0.0903688996040176","0.0757899341874607","0.469611036759051",NA,NA
"A5-E5-PLATE 4-NEW","0.438593878958789","0.405503953410542","0.973110319083961","0.951701573739752","0.0286105727423981","0.0903688996040176",NA
"A5-E5-PLATE 4-OLD","0.469611036759051","0.448953714229665","0.951701573739752","0.973110319083961","0.0273032695547696","0.0757899341874607","0.951701573739752"
"5","A6.E6.PLATE.1.NEW","A6.E6.PLATE.1.OLD","A6.E6.PLATE.2.NEW","A6.E6.PLATE.2.OLD","A6.E6.PLATE.3.NEW","A6.E6.PLATE.3.OLD","A6.E6.PLATE.4.NEW"
"A6-E6-PLATE 1-OLD","0.320551033186476",NA,NA,NA,NA,NA,NA
"A6-E6-PLATE 2-NEW","0.122238469723737","0.580352485319635",NA,NA,NA,NA,NA
"A6-E6-PLATE 2-OLD","0.122238469723737","0.580352485319635","0.984115751879886",NA,NA,NA,NA
"A6-E6-PLATE 3-NEW","0.00040752768327305","0.00043665353645117","0.000458898920789153","0.000458898920789153",NA,NA,NA
"A6-E6-PLATE 3-OLD","0.00043665353645117","0.000663689492162714","0.00101615643791958","0.00101615643791958","0.327255938780234",NA,NA
"A6-E6-PLATE 4-NEW","0.122238469723737","0.580352485319635","0.995980474659117","0.984115751879886","0.000458898920789153","0.00101615643791958",NA
"A6-E6-PLATE 4-OLD","0.0493927120064956","0.313299729141311","0.580352485319635","0.601629837494861","0.000663689492162714","0.0019947712350668","0.580352485319635"
"6","A7.E7.PLATE.1.NEW","A7.E7.PLATE.1.OLD","A7.E7.PLATE.2.NEW","A7.E7.PLATE.2.OLD","A7.E7.PLATE.3.NEW","A7.E7.PLATE.3.OLD","A7.E7.PLATE.4.NEW"
"A7-E7-PLATE 1-OLD","0.79547792126069",NA,NA,NA,NA,NA,NA
"A7-E7-PLATE 2-NEW","0.0466659197749761","0.0324881261097363",NA,NA,NA,NA,NA
"A7-E7-PLATE 2-OLD","0.00616319802697687","0.00470661500807594","0.133261791999799",NA,NA,NA,NA
"A7-E7-PLATE 3-NEW","0.000230994261573204","0.000230994261573204","0.00100567617732236","0.00470661500807594",NA,NA,NA
"A7-E7-PLATE 3-OLD","0.000878972103605796","0.000864355042659305","0.00655537892938023","0.0547740809459907","0.0726053495629704",NA,NA
"A7-E7-PLATE 4-NEW","0.0332870207160139","0.0250450706973381","0.806336108527433","0.187040066918342","0.00109732767611447","0.00805368366564491",NA
"A7-E7-PLATE 4-OLD","0.00858185623007236","0.00655537892938023","0.252578248445173","0.687940907619977","0.00328048104573259","0.0321984558884079","0.345096505452606"
"7","A8.E8.PLATE.1.NEW","A8.E8.PLATE.1.OLD","A8.E8.PLATE.2.NEW","A8.E8.PLATE.2.OLD","A8.E8.PLATE.3.NEW","A8.E8.PLATE.3.OLD","A8.E8.PLATE.4.NEW"
"A8-E8-PLATE 1-OLD","0.845537538032034",NA,NA,NA,NA,NA,NA
"A8-E8-PLATE 2-NEW","0.188695226059118","0.269633549661999",NA,NA,NA,NA,NA
"A8-E8-PLATE 2-OLD","0.269633549661999","0.40769879463102","0.845537538032034",NA,NA,NA,NA
"A8-E8-PLATE 3-NEW","0.00416063137429557","0.00501356447316609","0.0120504095897874","0.00952922366701032",NA,NA,NA
"A8-E8-PLATE 3-OLD","0.00416063137429557","0.00416063137429557","0.00811944723555856","0.00795458101839205","0.770927306812295",NA,NA
"A8-E8-PLATE 4-NEW","0.239172141783861","0.34135734364328","0.905842965302282","0.905842965302282","0.010761871049594","0.00811944723555856",NA
"A8-E8-PLATE 4-OLD","0.188695226059118","0.269633549661999","0.992689826465577","0.845537538032034","0.0120504095897874","0.00811944723555856","0.905842965302282"
"8","B2.F2.PLATE.1.NEW","B2.F2.PLATE.1.OLD","B2.F2.PLATE.2.NEW","B2.F2.PLATE.2.OLD","B2.F2.PLATE.3.NEW","B2.F2.PLATE.3.OLD","B2.F2.PLATE.4.NEW"
"B2-F2-PLATE 1-OLD","0.433529840781878",NA,NA,NA,NA,NA,NA
"B2-F2-PLATE 2-NEW","0.433529840781878","0.97361897442936",NA,NA,NA,NA,NA
"B2-F2-PLATE 2-OLD","0.0399756953984619","0.0561410902629131","0.0561410902629131",NA,NA,NA,NA
"B2-F2-PLATE 3-NEW","0.05440213258728","0.169604870054316","0.169604870054316","0.492167211830659",NA,NA,NA
"B2-F2-PLATE 3-OLD","0.0399756953984619","0.05440213258728","0.05440213258728","0.777877134441119","0.34463227031058",NA,NA
"B2-F2-PLATE 4-NEW","0.103238175172703","0.312924389936791","0.312924389936791","0.300111731085788","0.643455385278792","0.185283340455175",NA
"B2-F2-PLATE 4-OLD","0.0399756953984619","0.05440213258728","0.05440213258728","0.877601587062512","0.411943479888193","0.905157307004128","0.222739912452426"
"9","B3.F3.PLATE.1.NEW","B3.F3.PLATE.1.OLD","B3.F3.PLATE.2.NEW","B3.F3.PLATE.2.OLD","B3.F3.PLATE.3.NEW","B3.F3.PLATE.3.OLD","B3.F3.PLATE.4.NEW"
"B3-F3-PLATE 1-OLD","0.509641248645589",NA,NA,NA,NA,NA,NA
"B3-F3-PLATE 2-NEW","0.632769201341869","0.305947793291174",NA,NA,NA,NA,NA
"B3-F3-PLATE 2-OLD","0.00836031829022465","0.0059841408531093","0.0112882660174966",NA,NA,NA,NA
"B3-F3-PLATE 3-NEW","0.017226578287426","0.00836031829022465","0.038265141466693","0.445776756327763",NA,NA,NA
"B3-F3-PLATE 3-OLD","0.0077252180043157","0.0059841408531093","0.00836031829022465","0.813383656452933","0.330608884269888",NA,NA
"B3-F3-PLATE 4-NEW","0.0173943068675767","0.00836031829022465","0.0392407351723469","0.430581950472615","0.952550668136487","0.320335478770202",NA
"B3-F3-PLATE 4-OLD","0.0077252180043157","0.0059841408531093","0.00898475044469445","0.885101449070664","0.357765869858793","0.93306768440006","0.345435631705286"
"10","B4.F4.PLATE.1.NEW","B4.F4.PLATE.1.OLD","B4.F4.PLATE.2.NEW","B4.F4.PLATE.2.OLD","B4.F4.PLATE.3.NEW","B4.F4.PLATE.3.OLD","B4.F4.PLATE.4.NEW"
"B4-F4-PLATE 1-OLD","0.893996117510647",NA,NA,NA,NA,NA,NA
"B4-F4-PLATE 2-NEW","0.148405778289641","0.123883368236815",NA,NA,NA,NA,NA
"B4-F4-PLATE 2-OLD","0.00502110078305121","0.00470648518824251","0.0444017974761448",NA,NA,NA,NA
"B4-F4-PLATE 3-NEW","0.00470648518824251","0.00470648518824251","0.029477847849422","0.807201597521973",NA,NA,NA
"B4-F4-PLATE 3-OLD","0.00470648518824251","0.00470648518824251","0.0334941284980564","0.884951617542231","0.893996117510647",NA,NA
"B4-F4-PLATE 4-NEW","0.00724491267422244","0.00653512660543123","0.0830472027917095","0.777279134349661","0.58266049855236","0.627411676305843",NA
"B4-F4-PLATE 4-OLD","0.00470648518824251","0.00470648518824251","0.0111682337412434","0.449148335451962","0.62169942456887","0.578099167388151","0.250637119871008"
"11","B5.F5.PLATE.1.NEW","B5.F5.PLATE.1.OLD","B5.F5.PLATE.2.NEW","B5.F5.PLATE.2.OLD","B5.F5.PLATE.3.NEW","B5.F5.PLATE.3.OLD","B5.F5.PLATE.4.NEW"
"B5-F5-PLATE 1-OLD","0.183598556778153",NA,NA,NA,NA,NA,NA
"B5-F5-PLATE 2-NEW","0.00891495781593872","0.00154697549900039",NA,NA,NA,NA,NA
"B5-F5-PLATE 2-OLD","0.00123121121379804","0.0003196727550011","0.12396402608421",NA,NA,NA,NA
"B5-F5-PLATE 3-NEW","0.000156140078675087","0.000148632259181258","0.00292394604188427","0.0301274277383658",NA,NA,NA
"B5-F5-PLATE 3-OLD","0.000226436129542304","0.000148632259181258","0.00670506310393408","0.07852920357703","0.528855468242651",NA,NA
"B5-F5-PLATE 4-NEW","0.00209601303257677","0.000473959357050424","0.26282950736457","0.551452549154815","0.0134874801859039","0.0315714058823415",NA
"B5-F5-PLATE 4-OLD","0.0003196727550011","0.000156140078675087","0.0155209260750376","0.200430417219792","0.223924948516224","0.520139792374447","0.0891051924618843"
"12","B6.F6.PLATE.1.NEW","B6.F6.PLATE.1.OLD","B6.F6.PLATE.2.NEW","B6.F6.PLATE.2.OLD","B6.F6.PLATE.3.NEW","B6.F6.PLATE.3.OLD","B6.F6.PLATE.4.NEW"
"B6-F6-PLATE 1-OLD","0.169406869913203",NA,NA,NA,NA,NA,NA
"B6-F6-PLATE 2-NEW","0.109244419720023","0.0213932371068522",NA,NA,NA,NA,NA
"B6-F6-PLATE 2-OLD","0.0463332209203261","0.00931710356881455","0.591744110672197",NA,NA,NA,NA
"B6-F6-PLATE 3-NEW","0.00501391225692088","0.0018399171723928","0.0279022191327948","0.05211827516882",NA,NA,NA
"B6-F6-PLATE 3-OLD","0.00645817312734901","0.0018399171723928","0.0450257105112525","0.103104405451997","0.697854030234291",NA,NA
"B6-F6-PLATE 4-NEW","0.160306894771176","0.0257948427209864","0.814762402041207","0.435716152644367","0.0225292684194687","0.0341842815058436",NA
"B6-F6-PLATE 4-OLD","0.00645817312734901","0.0018399171723928","0.0458047030353099","0.106543864454428","0.683693025631077","0.956823637302133","0.0343446652027876"
"13","B7.F7.PLATE.1.NEW","B7.F7.PLATE.1.OLD","B7.F7.PLATE.2.NEW","B7.F7.PLATE.2.OLD","B7.F7.PLATE.3.NEW","B7.F7.PLATE.3.OLD","B7.F7.PLATE.4.NEW"
"B7-F7-PLATE 1-OLD","0.0381759455458288",NA,NA,NA,NA,NA,NA
"B7-F7-PLATE 2-NEW","0.123272112917462","0.00500210351251422",NA,NA,NA,NA,NA
"B7-F7-PLATE 2-OLD","0.0346600624042454","0.00208952678654008","0.350257228923219",NA,NA,NA,NA
"B7-F7-PLATE 3-NEW","0.00208952678654008","0.000559553009060206","0.0137009044735073","0.044420263971275",NA,NA,NA
"B7-F7-PLATE 3-OLD","0.0137178174393109","0.00188625507268301","0.152647512632028","0.543960720583142","0.116091966583608",NA,NA
"B7-F7-PLATE 4-NEW","0.172518485858823","0.00618052117044601","0.807417669917821","0.25546786598743","0.010347878798999","0.116091966583608",NA
"B7-F7-PLATE 4-OLD","0.03995731861854","0.00208952678654008","0.449130995696265","0.807417669917821","0.0377414548248754","0.43173865630945","0.348740378261588"
"14","B8.F8.PLATE.1.NEW","B8.F8.PLATE.1.OLD","B8.F8.PLATE.2.NEW","B8.F8.PLATE.2.OLD","B8.F8.PLATE.3.NEW","B8.F8.PLATE.3.OLD","B8.F8.PLATE.4.NEW"
"B8-F8-PLATE 1-OLD","0.407311472492026",NA,NA,NA,NA,NA,NA
"B8-F8-PLATE 2-NEW","0.00232664170407888","0.00123222315641312",NA,NA,NA,NA,NA
"B8-F8-PLATE 2-OLD","0.00509358126523431","0.00232664170407888","0.407311472492026",NA,NA,NA,NA
"B8-F8-PLATE 3-NEW","0.00021359370895521","0.000213219057732346","0.00832472804682549","0.00349051866852201",NA,NA,NA
"B8-F8-PLATE 3-OLD","0.00111695902022158","0.000559466876858947","0.310298198297247","0.0963567092868698","0.0384368460275124",NA,NA
"B8-F8-PLATE 4-NEW","0.00971098933318106","0.00376881136526391","0.208628061197536","0.584141074105305","0.00232664170407888","0.0437919550987571",NA
"B8-F8-PLATE 4-OLD","0.137370373919388","0.0430201221607548","0.0141894399824178","0.0446613069563893","0.000559466876858947","0.00376881136526391","0.0987361458358485"
"15","C2.G2.PLATE.1.NEW","C2.G2.PLATE.1.OLD","C2.G2.PLATE.2.NEW","C2.G2.PLATE.2.OLD","C2.G2.PLATE.3.NEW","C2.G2.PLATE.3.OLD","C2.G2.PLATE.4.NEW"
"C2-G2-PLATE 1-OLD","0.00269526064898806",NA,NA,NA,NA,NA,NA
"C2-G2-PLATE 2-NEW","0.661009828881292","0.00170293736180604",NA,NA,NA,NA,NA
"C2-G2-PLATE 2-OLD","0.000773030824181403","0.20040453632173","0.0006768266726273",NA,NA,NA,NA
"C2-G2-PLATE 3-NEW","0.00121129845139217","0.45825843927254","0.00082333549001138","0.560460103471555",NA,NA,NA
"C2-G2-PLATE 3-OLD","0.000152353642894954","0.00342255908726174","0.000152353642894954","0.0208497785644302","0.00993742313347809",NA,NA
"C2-G2-PLATE 4-NEW","0.0208607974916399","0.131914714801701","0.0127620205367783","0.0185785716491008","0.0393534472690685","0.000773030824181403",NA
"C2-G2-PLATE 4-OLD","0.000320493378162851","0.0270663754207393","0.000285690420042027","0.20040453632173","0.0901414211406888","0.149643289711479","0.00321057148398697"
"16","C3.G3.PLATE.1.NEW","C3.G3.PLATE.1.OLD","C3.G3.PLATE.2.NEW","C3.G3.PLATE.2.OLD","C3.G3.PLATE.3.NEW","C3.G3.PLATE.3.OLD","C3.G3.PLATE.4.NEW"
