"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"1","A2.E2.PLATE.1.NEW","A2.E2.PLATE.1.OLD","A2.E2.PLATE.2.NEW","A2.E2.PLATE.2.OLD","A2.E2.PLATE.3.NEW","A2.E2.PLATE.3.OLD","A2.E2.PLATE.4.NEW"
"A2-E2-PLATE 1-OLD","0.832169151226191",NA,NA,NA,NA,NA,NA
"A2-E2-PLATE 2-NEW","0.263155404086116","0.344753747089523",NA,NA,NA,NA,NA
"A2-E2-PLATE 2-OLD","0.788428236497713","0.926560692458683","0.374734025103208",NA,NA,NA,NA
"A2-E2-PLATE 3-NEW","0.0322788152902843","0.0448549632603082","0.21517003485073","0.0466386010325088",NA,NA,NA
"A2-E2-PLATE 3-OLD","0.0162563336337912","0.018572540407313","0.0510035573194847","0.018572540407313","0.453761095871398",NA,NA
"A2-E2-PLATE 4-NEW","0.310779178084436","0.233787345302175","0.0470885062768798","0.22198997332663","0.0162563336337912","0.0115270708694207",NA
"A2-E2-PLATE 4-OLD","0.926560692458683","0.788428236497713","0.233787345302175","0.75664781720123","0.0309471194779025","0.0162563336337912","0.344753747089523"
"2","A3.E3.PLATE.1.NEW","A3.E3.PLATE.1.OLD","A3.E3.PLATE.2.NEW","A3.E3.PLATE.2.OLD","A3.E3.PLATE.3.NEW","A3.E3.PLATE.3.OLD","A3.E3.PLATE.4.NEW"
"A3-E3-PLATE 1-OLD","0.737307213356555",NA,NA,NA,NA,NA,NA
"A3-E3-PLATE 2-NEW","0.370175664530145","0.624300614657629",NA,NA,NA,NA,NA
"A3-E3-PLATE 2-OLD","0.737307213356555","0.621174668854397","0.257931670128461",NA,NA,NA,NA
"A3-E3-PLATE 3-NEW","0.249657828962723","0.370175664530145","0.737307213356555","0.249657828962723",NA,NA,NA
"A3-E3-PLATE 3-OLD","0.249657828962723","0.370175664530145","0.737307213356555","0.249657828962723","0.973173626524896",NA,NA
"A3-E3-PLATE 4-NEW","0.737307213356555","0.588729703493125","0.249657828962723","0.973173626524896","0.249657828962723","0.249657828962723",NA
"A3-E3-PLATE 4-OLD","0.997185802541853","0.737307213356555","0.370175664530145","0.737307213356555","0.249657828962723","0.249657828962723","0.737307213356555"
"3","A4.E4.PLATE.1.NEW","A4.E4.PLATE.1.OLD","A4.E4.PLATE.2.NEW","A4.E4.PLATE.2.OLD","A4.E4.PLATE.3.NEW","A4.E4.PLATE.3.OLD","A4.E4.PLATE.4.NEW"
"A4-E4-PLATE 1-OLD","0.954582736505763",NA,NA,NA,NA,NA,NA
"A4-E4-PLATE 2-NEW","0.084688465618725","0.084688465618725",NA,NA,NA,NA,NA
"A4-E4-PLATE 2-OLD","0.324131470406439","0.335904218539518","0.0235011251027306",NA,NA,NA,NA
"A4-E4-PLATE 3-NEW","0.2572336394989","0.250334584715685","0.403257684828396","0.0694017700835075",NA,NA,NA
"A4-E4-PLATE 3-OLD","0.0235011251027306","0.0235011251027306","0.324131470406439","0.013091971074661","0.12340911220073",NA,NA
"A4-E4-PLATE 4-NEW","0.266024059357489","0.274728249609568","0.0235011251027306","0.843756130395984","0.0537941021429374","0.013091971074661",NA
"A4-E4-PLATE 4-OLD","0.684106045426829","0.66770602917317","0.154556540381268","0.219607044177813","0.38339950179236","0.0407946434717973","0.161799640436941"
"4","A5.E5.PLATE.1.NEW","A5.E5.PLATE.1.OLD","A5.E5.PLATE.2.NEW","A5.E5.PLATE.2.OLD","A5.E5.PLATE.3.NEW","A5.E5.PLATE.3.OLD","A5.E5.PLATE.4.NEW"
"A5-E5-PLATE 1-OLD","0.559210529668962",NA,NA,NA,NA,NA,NA
