"","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"1","A2.E2.PLATE.1.NEW","A2.E2.PLATE.1.OLD","A2.E2.PLATE.2.NEW","A2.E2.PLATE.2.OLD","A2.E2.PLATE.3.NEW","A2.E2.PLATE.3.OLD","A2.E2.PLATE.4.NEW"
"A2-E2-PLATE 1-OLD","0.679397118367788",NA,NA,NA,NA,NA,NA
"A2-E2-PLATE 2-NEW","0.0115382046988839","0.021164812187108",NA,NA,NA,NA,NA
"A2-E2-PLATE 2-OLD","0.756277669269385","0.547009052386826","0.0105051679723409",NA,NA,NA,NA
"A2-E2-PLATE 3-NEW","0.0314432221435775","0.0660975133933332","0.547009052386826","0.021162485261971",NA,NA,NA
"A2-E2-PLATE 3-OLD","0.547009052386826","0.301561178409047","0.00765952743660435","0.679397118367788","0.0115382046988839",NA,NA
"A2-E2-PLATE 4-NEW","0.00765952743660435","0.0108949223628786","0.580488792516877","0.00765952743660435","0.252414727335121","0.00765952743660435",NA
"A2-E2-PLATE 4-OLD","0.00765952743660435","0.0108949223628786","0.592279272920311","0.00765952743660435","0.257876042945012","0.00765952743660435","0.959117289561739"
"2","A3.E3.PLATE.1.NEW","A3.E3.PLATE.1.OLD","A3.E3.PLATE.2.NEW","A3.E3.PLATE.2.OLD","A3.E3.PLATE.3.NEW","A3.E3.PLATE.3.OLD","A3.E3.PLATE.4.NEW"
"A3-E3-PLATE 1-OLD","0.504979345114445",NA,NA,NA,NA,NA,NA
"A3-E3-PLATE 2-NEW","0.0758714610420446","0.199000258047433",NA,NA,NA,NA,NA
"A3-E3-PLATE 2-OLD","0.870076542274688","0.435839326332041","0.0658375277890284",NA,NA,NA,NA
"A3-E3-PLATE 3-NEW","0.199000258047433","0.504979345114445","0.504979345114445","0.169711151762032",NA,NA,NA
"A3-E3-PLATE 3-OLD","0.680174366975495","0.274321093961599","0.0486831490648229","0.745995136090226","0.107010395348174",NA,NA
"A3-E3-PLATE 4-NEW","0.0486831490648229","0.091248813033158","0.569155681779987","0.0486831490648229","0.228252127957202","0.0486831490648229",NA
"A3-E3-PLATE 4-OLD","0.0537391533713256","0.135890482018736","0.745995136090226","0.0486831490648229","0.350936475667708","0.0486831490648229","0.745995136090226"
"3","A4.E4.PLATE.1.NEW","A4.E4.PLATE.1.OLD","A4.E4.PLATE.2.NEW","A4.E4.PLATE.2.OLD","A4.E4.PLATE.3.NEW","A4.E4.PLATE.3.OLD","A4.E4.PLATE.4.NEW"
"A4-E4-PLATE 1-OLD","0.831914797914236",NA,NA,NA,NA,NA,NA
"A4-E4-PLATE 2-NEW","0.111560443758249","0.106757081379969",NA,NA,NA,NA,NA
"A4-E4-PLATE 2-OLD","0.974234143626272","0.831914797914236","0.111560443758249",NA,NA,NA,NA
"A4-E4-PLATE 3-NEW","0.142690661222223","0.111560443758249","0.871177519330121","0.142690661222223",NA,NA,NA
"A4-E4-PLATE 3-OLD","0.871177519330121","0.871177519330121","0.111560443758249","0.871177519330121","0.111560443758249",NA,NA
"A4-E4-PLATE 4-NEW","0.0293626466920503","0.0293626466920503","0.201106657458196","0.0293626466920503","0.142690661222223","0.0293626466920503",NA
"A4-E4-PLATE 4-OLD","0.111560443758249","0.106757081379969","0.974234143626272","0.111560443758249","0.871177519330121","0.111560443758249","0.202877101377053"
"4","A5.E5.PLATE.1.NEW","A5.E5.PLATE.1.OLD","A5.E5.PLATE.2.NEW","A5.E5.PLATE.2.OLD","A5.E5.PLATE.3.NEW","A5.E5.PLATE.3.OLD","A5.E5.PLATE.4.NEW"
"A5-E5-PLATE 1-OLD","0.467353873835897",NA,NA,NA,NA,NA,NA
"A5-E5-PLATE 2-NEW","0.0572644205885991","0.133688564335017",NA,NA,NA,NA,NA
"A5-E5-PLATE 2-OLD","0.472048437139428","0.968023447714721","0.133688564335017",NA,NA,NA,NA
"A5-E5-PLATE 3-NEW","0.063028038610553","0.179691670403822","0.82313825623699","0.179691670403822",NA,NA,NA
"A5-E5-PLATE 3-OLD","0.942295026589749","0.452036086206466","0.0560519455025832","0.452036086206466","0.0572644205885991",NA,NA
"A5-E5-PLATE 4-NEW","0.019545882749887","0.0245911237312898","0.179691670403822","0.0245911237312898","0.133688564335017","0.019545882749887",NA
"A5-E5-PLATE 4-OLD","0.0245911237312898","0.0572644205885991","0.510337702372188","0.0572644205885991","0.450571363121986","0.0245911237312898","0.452036086206466"
"5","A6.E6.PLATE.1.NEW","A6.E6.PLATE.1.OLD","A6.E6.PLATE.2.NEW","A6.E6.PLATE.2.OLD","A6.E6.PLATE.3.NEW","A6.E6.PLATE.3.OLD","A6.E6.PLATE.4.NEW"
"A6-E6-PLATE 1-OLD","0.851344175186389",NA,NA,NA,NA,NA,NA
"A6-E6-PLATE 2-NEW","0.0835694689964551","0.0962964163660662",NA,NA,NA,NA,NA
"A6-E6-PLATE 2-OLD","0.992933866814511","0.851344175186389","0.0835694689964551",NA,NA,NA,NA
"A6-E6-PLATE 3-NEW","0.0962964163660662","0.129826879825765","0.851344175186389","0.0962964163660662",NA,NA,NA
"A6-E6-PLATE 3-OLD","0.808551581638335","0.709456289582676","0.0620624655997819","0.808551581638335","0.0752879860288665",NA,NA
"A6-E6-PLATE 4-NEW","0.0244238407082231","0.0252305169918812","0.175750721247448","0.0244238407082231","0.129826879825765","0.0244238407082231",NA
"A6-E6-PLATE 4-OLD","0.0558892190767539","0.0620624655997819","0.709456289582676","0.0558892190767539","0.590950895138832","0.0420227843481394","0.407568338249753"
"6","A7.E7.PLATE.1.NEW","A7.E7.PLATE.1.OLD","A7.E7.PLATE.2.NEW","A7.E7.PLATE.2.OLD","A7.E7.PLATE.3.NEW","A7.E7.PLATE.3.OLD","A7.E7.PLATE.4.NEW"
"A7-E7-PLATE 1-OLD","0.844867557240885",NA,NA,NA,NA,NA,NA
"A7-E7-PLATE 2-NEW","0.167175357500577","0.21038327923221",NA,NA,NA,NA,NA
"A7-E7-PLATE 2-OLD","0.860356594137552","0.735324083097829","0.14892278121456",NA,NA,NA,NA
"A7-E7-PLATE 3-NEW","0.302619974143278","0.363696681198008","0.6827882081047","0.245556020803101",NA,NA,NA
"A7-E7-PLATE 3-OLD","0.650483402771559","0.531537750279973","0.0988107775081842","0.730814661025222","0.159756538136781",NA,NA
"A7-E7-PLATE 4-NEW","0.0386284441567034","0.0408447403917184","0.175899575460027","0.0386284441567034","0.109055535416988","0.0386284441567034",NA
"A7-E7-PLATE 4-OLD","0.0988107775081842","0.109055535416988","0.650483402771559","0.094265949438553","0.36180698172629","0.0558145438159077","0.36180698172629"
