"ROW_GROUP","AD_TEST_OLD","GT_A_AD_OLD","SHAPIRO_TEST_OLD","GT_A_SHAP_OLD","BONETT_TEST_OLD","GT_A_BONN_OLD","GEARY_OLD","GT_A_GEAR_OLD","AD_TEST_NEW","GT_A_AD_NEW","SHAPIRO_TEST_NEW","GT_A_SHAP_NEW","BONETT_TEST_NEW","GT_A_BONN_NEW","GEARY_NEW","GT_A_GEAR_NEW"
"A2 - E2","1.39e-01",TRUE,"1.69e-01",TRUE,"8.69e-01",TRUE,"7.87e-01",TRUE,"5.76e-02",TRUE,"5.67e-02",TRUE,"1.23e-01",TRUE,"9.09e-01",TRUE
"A3 - E3","3.15e-01",TRUE,"4.49e-01",TRUE,"1.12e-01",TRUE,"6.98e-01",TRUE,"6.62e-01",TRUE,"6.66e-01",TRUE,"6.94e-01",TRUE,"8.25e-01",TRUE
"A4 - E4","6.57e-02",TRUE,"7.25e-02",TRUE,"2.99e-01",TRUE,"7.31e-01",TRUE,"5.95e-01",TRUE,"6.19e-01",TRUE,"9.08e-01",TRUE,"8.06e-01",TRUE
"A5 - E5","3.72e-02",FALSE,"6.23e-02",TRUE,"2.05e-01",TRUE,"7.17e-01",TRUE,"8.00e-01",TRUE,"8.09e-01",TRUE,"5.96e-01",TRUE,"8.34e-01",TRUE
"A6 - E6","7.09e-02",TRUE,"1.21e-01",TRUE,"5.59e-01",TRUE,"7.60e-01",TRUE,"9.20e-01",TRUE,"9.15e-01",TRUE,"5.86e-01",TRUE,"8.35e-01",TRUE
"A7 - E7","1.24e-01",TRUE,"1.57e-01",TRUE,"8.23e-01",TRUE,"8.13e-01",TRUE,"7.90e-01",TRUE,"9.40e-01",TRUE,"7.52e-01",TRUE,"7.77e-01",TRUE
"A8 - E8","5.16e-02",TRUE,"9.20e-02",TRUE,"7.83e-01",TRUE,"7.80e-01",TRUE,"3.89e-01",TRUE,"3.53e-01",TRUE,"5.31e-01",TRUE,"8.41e-01",TRUE
"B2 - F2","4.65e-01",TRUE,"6.80e-01",TRUE,"5.51e-01",TRUE,"7.59e-01",TRUE,"5.82e-01",TRUE,"4.60e-01",TRUE,"1.58e-01",TRUE,"8.99e-01",TRUE
"B3 - F3","2.56e-01",TRUE,"4.51e-01",TRUE,"1.58e-01",TRUE,"7.08e-01",TRUE,"8.31e-02",TRUE,"8.11e-02",TRUE,"2.11e-02",FALSE,"9.69e-01",TRUE
"B4 - F4","1.89e-01",TRUE,"3.95e-01",TRUE,"6.82e-02",TRUE,"6.84e-01",TRUE,"7.46e-01",TRUE,"6.81e-01",TRUE,"6.03e-01",TRUE,"8.34e-01",TRUE
"B5 - F5","1.70e-01",TRUE,"3.59e-01",TRUE,"7.99e-02",TRUE,"6.89e-01",TRUE,"7.61e-01",TRUE,"7.87e-01",TRUE,"6.79e-01",TRUE,"8.26e-01",TRUE
"B6 - F6","3.70e-02",FALSE,"1.00e-01",TRUE,"5.54e-03",FALSE,"6.32e-01",TRUE,"5.50e-01",TRUE,"7.00e-01",TRUE,"4.03e-01",TRUE,"7.44e-01",TRUE
"B7 - F7","4.78e-01",TRUE,"4.35e-01",TRUE,"5.49e-01",TRUE,"7.59e-01",TRUE,"4.30e-01",TRUE,"5.32e-01",TRUE,"5.66e-01",TRUE,"8.37e-01",TRUE
"B8 - F8","5.36e-01",TRUE,"8.14e-01",TRUE,"2.56e-01",TRUE,"7.25e-01",TRUE,"2.08e-01",TRUE,"2.49e-01",TRUE,"6.00e-01",TRUE,"8.34e-01",TRUE
"C2 - G2","5.79e-01",TRUE,"6.06e-01",TRUE,"9.98e-01",TRUE,"7.98e-01",TRUE,"6.81e-01",TRUE,"7.08e-01",TRUE,"5.78e-01",TRUE,"8.36e-01",TRUE
"C3 - G3","9.46e-01",TRUE,"9.30e-01",TRUE,"7.29e-01",TRUE,"8.22e-01",TRUE,"6.24e-01",TRUE,"5.71e-01",TRUE,"3.83e-01",TRUE,"8.59e-01",TRUE
"C4 - G4","3.29e-01",TRUE,"4.40e-01",TRUE,"5.85e-01",TRUE,"7.62e-01",TRUE,"8.01e-01",TRUE,"6.72e-01",TRUE,"4.10e-01",TRUE,"8.55e-01",TRUE
"C5 - G5","6.72e-01",TRUE,"6.44e-01",TRUE,"3.76e-01",TRUE,"8.60e-01",TRUE,"6.24e-01",TRUE,"5.70e-01",TRUE,"3.76e-01",TRUE,"8.60e-01",TRUE
"C6 - G6","8.42e-01",TRUE,"8.01e-01",TRUE,"8.77e-01",TRUE,"8.08e-01",TRUE,"2.64e-01",TRUE,"2.22e-01",TRUE,"6.90e-01",TRUE,"7.72e-01",TRUE
