"ROW.GROUP","MEAN.O","MEAN.N","MIN.O","MIN.N","MAX.O","MAX.N","SD.O","SD.N","PCT.DIFF","CV.O","CV.N","REAGENT"
"A2-E2","2.87e+02","2.93e+02","2.20e+02","2.41e+02","3.33e+02","3.42e+02","4.20e+01","4.00e+01","4.82%","1.46e-01","1.36e-01","BV-421"
"A3-E3","2.90e+02","2.85e+02","2.17e+02","2.10e+02","3.34e+02","3.29e+02","3.39e+01","3.76e+01","3.56%","1.17e-01","1.32e-01","BV-421"
"A4-E4","2.53e+02","2.55e+02","1.90e+02","2.24e+02","2.82e+02","2.91e+02","3.12e+01","2.41e+01","1.05%","1.23e-01","9.48e-02","BV-421"
"A5-E5","1.96e+02","2.07e+02","1.28e+02","1.61e+02","2.44e+02","2.51e+02","4.49e+01","2.89e+01","11.13%","2.29e-01","1.40e-01","BV-421"
"A6-E6","1.53e+02","1.57e+02","8.27e+01","9.69e+01","1.96e+02","1.86e+02","3.55e+01","2.81e+01","5.46%","2.32e-01","1.79e-01","BV-421"
"A7-E7","1.17e+02","1.06e+02","5.30e+01","7.85e+01","1.58e+02","1.40e+02","3.16e+01","2.05e+01","18.32%","2.70e-01","1.92e-01","BV-421"
"A8-E8","8.04e+01","8.19e+01","3.03e+01","4.84e+01","1.10e+02","1.19e+02","2.38e+01","2.34e+01","3.76%","2.95e-01","2.86e-01","BV-421"
"B2-F2","2.93e+01","3.55e+01","2.31e+01","2.76e+01","3.89e+01","4.49e+01","5.76e+00","6.83e+00","41.77%","1.96e-01","1.93e-01","BUV-395"
"B3-F3","4.29e+01","4.83e+01","2.73e+01","3.94e+01","6.15e+01","6.51e+01","1.04e+01","9.61e+00","25.16%","2.43e-01","1.99e-01","BUV-395"
"B4-F4","5.99e+01","6.25e+01","4.42e+01","4.57e+01","8.51e+01","8.47e+01","1.31e+01","1.43e+01","8.72%","2.18e-01","2.29e-01","BUV-395"
"B5-F5","7.04e+01","7.20e+01","6.22e+01","6.40e+01","7.84e+01","8.29e+01","4.76e+00","8.04e+00","4.48%","6.76e-02","1.12e-01","BUV-395"
"B6-F6","7.37e+01","6.55e+01","6.14e+01","4.79e+01","9.77e+01","8.38e+01","1.13e+01","1.15e+01","22.21%","1.53e-01","1.76e-01","BUV-395"
"B7-F7","6.40e+01","6.48e+01","4.80e+01","4.78e+01","7.96e+01","7.80e+01","1.24e+01","1.09e+01","2.63%","1.94e-01","1.68e-01","BUV-395"
"B8-F8","5.48e+01","4.92e+01","2.13e+01","2.17e+01","6.84e+01","7.37e+01","1.53e+01","1.66e+01","20.48%","2.79e-01","3.37e-01","BUV-395"
"C2-G2","1.39e+01","1.80e+01","8.60e+00","1.02e+01","1.82e+01","2.50e+01","3.32e+00","4.80e+00","58.12%","2.38e-01","2.67e-01","BB-515"
"C3-G3","1.64e+01","2.14e+01","1.13e+01","1.24e+01","1.93e+01","2.66e+01","2.52e+00","4.21e+00","60.82%","1.54e-01","1.97e-01","BB-515"
"C4-G4","1.76e+01","2.05e+01","1.03e+01","1.16e+01","2.15e+01","3.29e+01","4.45e+00","6.00e+00","33.23%","2.52e-01","2.92e-01","BB-515"
"C5-G5","1.84e+01","1.99e+01","1.31e+01","9.64e+00","2.59e+01","3.10e+01","3.61e+00","6.32e+00","16.88%","1.96e-01","3.17e-01","BB-515"
"C6-G6","1.81e+01","1.52e+01","1.01e+01","2.10e+00","2.11e+01","2.32e+01","4.02e+00","6.40e+00","32.16%","2.22e-01","4.22e-01","BB-515"
"C7-G7","1.57e+01","1.30e+01","6.61e+00","8.13e+00","1.94e+01","1.72e+01","4.36e+00","3.50e+00","35.49%","2.77e-01","2.70e-01","BB-515"
"C8-G8","1.15e+01","1.23e+01","7.77e+00","4.53e-01","1.49e+01","1.83e+01","2.61e+00","6.25e+00","14.63%","2.27e-01","5.07e-01","BB-515"
"D2-H2","3.80e+02","3.52e+02","3.22e+02","2.81e+02","4.36e+02","4.21e+02","3.82e+01","4.66e+01","14.78%","1.00e-01","1.32e-01","PE"
"D3-H3","2.92e+02","3.00e+02","2.04e+02","2.29e+02","3.54e+02","3.54e+02","5.93e+01","4.00e+01","5.64%","2.03e-01","1.33e-01","PE"
"D4-H4","2.49e+02","2.20e+02","1.65e+02","9.25e+01","3.09e+02","2.87e+02","4.78e+01","6.09e+01","22.56%","1.92e-01","2.76e-01","PE"
"D5-H5","2.02e+02","1.51e+02","1.73e+02","4.03e+01","2.39e+02","1.92e+02","2.59e+01","4.97e+01","50.58%","1.28e-01","3.30e-01","PE"
"D6-H6","1.45e+02","1.28e+02","7.64e+01","2.39e+01","1.78e+02","1.73e+02","3.35e+01","4.84e+01","22.49%","2.32e-01","3.77e-01","PE"
"D7-H7","1.00e+02","9.35e+01","8.17e+01","4.67e+01","1.29e+02","1.48e+02","1.82e+01","3.25e+01","13.16%","1.82e-01","3.48e-01","PE"
"D8-H8","6.08e+01","7.83e+01","4.38e+01","3.36e+01","7.59e+01","1.03e+02","1.19e+01","2.21e+01","57.66%","1.95e-01","2.82e-01","PE"
