"","diff","lwr","upr","p.adj"
"A2-E2-PLATE 1-OLD-A2-E2-PLATE 1-NEW",987.2080078125,-1884.99839572862,3859.41441135362,0.8525040162129
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-NEW",-1883.85791015625,-4756.06431369737,988.34849338487,0.278556574889467
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-NEW",-2199.330078125,-5071.53648166612,672.87632541612,0.163167560903794
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-NEW",-5640.66162109375,-8512.86802463487,-2768.45521755263,0.000793839815891983
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-NEW",-6685.7451171875,-9557.95152072862,-3813.53871364638,0.000236077951383917
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-NEW",-2726.234375,-5598.44077854112,145.97202854112,0.0645762473575183
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-NEW",-1469.4814453125,-4341.68784885362,1402.72495822862,0.519893031303835
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-OLD",-2871.06591796875,-5743.27232150987,1.14048557237038,0.0500996414959404
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-OLD",-3186.5380859375,-6058.74448947862,-314.33168239638,0.0290700654912389
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-OLD",-6627.86962890625,-9500.07603244737,-3755.66322536513,0.000251455529172384
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-OLD",-7672.953125,-10545.1595285411,-4800.74672145888,8.56707614228513e-05
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-OLD",-3713.4423828125,-6585.64878635362,-841.23597927138,0.0121536178826535
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-OLD",-2456.689453125,-5328.89585666612,415.51695041612,0.103885019598303
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 2-NEW",-315.47216796875,-3187.67857150987,2556.73423557237,0.999714074265016
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 2-NEW",-3756.8037109375,-6629.01011447862,-884.59730739638,0.0113387417906873
