"","diff","lwr","upr","p.adj"
"A2-E2-PLATE 1-OLD-A2-E2-PLATE 1-NEW",89,-584.371745039247,762.371745039247,0.999062024715365
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-NEW",653.5,-19.8717450392473,1326.87174503925,0.0579941036825413
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-NEW",-61,-734.371745039247,612.371745039247,0.999919704892107
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-NEW",512,-161.371745039247,1185.37174503925,0.167601002209933
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-NEW",-146,-819.371745039247,527.371745039247,0.982621223031432
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-NEW",780.5,107.128254960753,1453.87174503925,0.0228432851555337
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-NEW",771.5,98.1282549607527,1444.87174503925,0.0243662762841925
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-OLD",564.5,-108.871745039247,1237.87174503925,0.113234135792711
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-OLD",-150,-823.371745039247,523.371745039247,0.979926907068189
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-OLD",423,-250.371745039247,1096.37174503925,0.316850438691592
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-OLD",-235,-908.371745039247,438.371745039247,0.843770503540303
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-OLD",691.5,18.1282549607527,1364.87174503925,0.0437017893510752
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-OLD",682.5,9.12825496075266,1355.87174503925,0.0467186147325273
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 2-NEW",-714.5,-1387.87174503925,-41.1282549607527,0.0368794842517605
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 2-NEW",-141.5,-814.871745039247,531.871745039247,0.985328747879134
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 2-NEW",-799.5,-1472.87174503925,-126.128254960753,0.0199507049082539
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 2-NEW",127,-546.371745039247,800.371745039247,0.991975726269852
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 2-NEW",118,-555.371745039247,791.371745039247,0.994754930271265
