"X","Y","Z"
1,"A",3703
2,"A",2810
3,"A",3247
4,"A",3152
5,"A",3200
6,"A",3413
7,"A",3210
8,"A",3308
9,"A",12
10,"A",1
11,"A",0
12,"A",0
1,"B",4034
2,"B",2970
3,"B",2899
4,"B",2567
5,"B",2296
6,"B",2134
7,"B",2332
8,"B",2769
9,"B",11
10,"B",0
11,"B",0
12,"B",0
1,"C",3911
2,"C",3327
3,"C",3351
4,"C",3277
5,"C",3088
6,"C",3030
7,"C",3209
8,"C",3267
9,"C",22
10,"C",0
11,"C",0
12,"C",0
1,"D",3247
2,"D",3523
3,"D",3240
4,"D",3313
5,"D",2704
6,"D",2762
7,"D",2271
8,"D",2401
9,"D",13
10,"D",0
11,"D",0
12,"D",0
1,"E",3902
2,"E",3203
3,"E",2931
4,"E",2697
5,"E",2350
6,"E",2406
7,"E",2492
8,"E",2420
9,"E",15
10,"E",0
11,"E",0
12,"E",0
1,"F",3635
2,"F",2404
3,"F",2257
4,"F",2357
5,"F",1796
6,"F",2035
7,"F",2022
8,"F",2600
9,"F",5
10,"F",0
11,"F",0
12,"F",0
1,"G",3706
2,"G",3371
3,"G",3056
4,"G",2942
5,"G",2700
6,"G",2974
7,"G",3384
8,"G",3295
9,"G",26
10,"G",1
11,"G",0
12,"G",1
1,"H",3219
2,"H",2511
3,"H",2869
4,"H",2763
5,"H",2743
6,"H",3435
7,"H",2705
8,"H",2476
9,"H",6
10,"H",0
11,"H",0
12,"H",1
