"X","Y","Z"
1,"A",11131
2,"A",5024
3,"A",4991
4,"A",4298
5,"A",4546
6,"A",4583
7,"A",5618
8,"A",5601
9,"A",7
10,"A",13
11,"A",14
12,"A",17
1,"B",6114
2,"B",5023
3,"B",5254
4,"B",4697
5,"B",3309
6,"B",3493
7,"B",3738
8,"B",4473
9,"B",14
10,"B",3
11,"B",10
12,"B",4
1,"C",5660
2,"C",5008
3,"C",4658
4,"C",4726
5,"C",4239
6,"C",5009
7,"C",5467
8,"C",5448
9,"C",13
10,"C",8
11,"C",12
12,"C",8
1,"D",4621
2,"D",4590
3,"D",4352
4,"D",4368
5,"D",4514
6,"D",3939
7,"D",3804
8,"D",3658
9,"D",19
10,"D",12
11,"D",5
12,"D",12
1,"E",4514
2,"E",3889
3,"E",3825
4,"E",2839
5,"E",3412
6,"E",3219
7,"E",3252
8,"E",3407
9,"E",13
10,"E",12
11,"E",13
12,"E",9
1,"F",4441
2,"F",2980
3,"F",3579
4,"F",2901
5,"F",3091
6,"F",3046
7,"F",3382
8,"F",3933
9,"F",17
10,"F",16
11,"F",7
12,"F",15
1,"G",4828
2,"G",4458
3,"G",4477
4,"G",4590
5,"G",4372
6,"G",4248
7,"G",5393
8,"G",4935
9,"G",16
10,"G",8
11,"G",7
12,"G",14
1,"H",4341
2,"H",4495
3,"H",4084
4,"H",4120
5,"H",3534
6,"H",3976
7,"H",3464
8,"H",3516
9,"H",15
10,"H",11
11,"H",9
12,"H",17
