Sample:,Mono %(+),Mono MFI(+),Mono MFI(-),Mono rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0,n/a,160,39.3,#VALUE!
Specimen_001_A2_A02_002.fcs,98.4,4375,563,239,7.974895397
Specimen_001_A3_A03_003.fcs,98.7,4375,597,323,5.848297214
Specimen_001_A4_A04_004.fcs,99,4208,578,215,8.441860465
Specimen_001_A5_A05_005.fcs,98.1,4301,637,262,6.992366412
Specimen_001_A6_A06_006.fcs,98.2,4322,624,257,7.194552529
Specimen_001_A7_A07_007.fcs,99.1,4559,709,307,6.270358306
Specimen_001_A8_A08_008.fcs,98.4,4322,513,337,5.651335312
Specimen_001_B1_B01_013.fcs,0,n/a,162,37.8,#VALUE!
Specimen_001_B2_B02_014.fcs,98.7,4375,681,252,7.329365079
Specimen_001_B3_B03_015.fcs,98.4,4280,718,161,11.0621118
Specimen_001_B4_B04_016.fcs,98.3,4291,658,276,6.581521739
Specimen_001_B5_B05_017.fcs,98.7,4218,477,219,8.54109589
Specimen_001_B6_B06_018.fcs,97.9,4147,561,279,6.426523297
Specimen_001_B7_B07_019.fcs,99,4127,451,247,7.441295547
Specimen_001_B8_B08_020.fcs,98.9,4048,751,121,13.62396694
Specimen_001_C1_C01_025.fcs,0.094,1031,159,38.5,11.32467532
Specimen_001_C2_C02_026.fcs,98.7,4385,723,211,8.677725118
Specimen_001_C3_C03_027.fcs,98.2,4260,660,311,5.78778135
Specimen_001_C4_C04_028.fcs,98.6,4198,611,259,6.924710425
Specimen_001_C5_C05_029.fcs,98,4301,577,287,6.487804878
Specimen_001_C6_C06_030.fcs,99.3,4280,558,0,#DIV/0!
Specimen_001_C7_C07_031.fcs,98.6,4178,648,247,7.145748988
Specimen_001_C8_C08_032.fcs,97.8,4333,648,155,11.88709677
Specimen_001_D1_D01_037.fcs,0,n/a,160,38.3,#VALUE!
Specimen_001_D2_D02_038.fcs,98.4,4385,687,254,7.279527559
Specimen_001_D3_D03_039.fcs,98.7,4301,722,267,6.702247191
Specimen_001_D4_D04_040.fcs,99.3,4107,663,398,4.326633166
Specimen_001_D5_D05_041.fcs,98.9,4208,790,307,5.566775244
Specimen_001_D6_D06_042.fcs,99.1,4088,218,298,6.493288591
Specimen_001_D7_D07_043.fcs,99.2,4333,584,258,7.265503876
Specimen_001_D8_D08_044.fcs,99.1,4343,467,172,11.26744186
Specimen_001_E1_E01_049.fcs,0,n/a,161,36.8,#VALUE!
Specimen_001_E2_E02_050.fcs,98.6,4301,469,337,5.685459941
Specimen_001_E3_E03_051.fcs,99.2,4260,614,360,5.063888889
Specimen_001_E4_E04_052.fcs,98.9,4301,532,352,5.353693182
Specimen_001_E5_E05_053.fcs,98.4,4322,733,279,6.431899642
Specimen_001_E6_E06_054.fcs,98.6,4260,578,166,11.09036145
Specimen_001_E7_E07_055.fcs,97.7,4137,542,297,6.052188552
Specimen_001_E8_E08_056.fcs,98.3,4168,647,311,5.660771704
Specimen_001_F1_F01_061.fcs,0,n/a,155,40.1,#VALUE!
Specimen_001_F2_F02_062.fcs,98.1,4312,625,201,9.171641791
Specimen_001_F3_F03_063.fcs,98.6,4158,753,218,7.809633028
Specimen_001_F4_F04_064.fcs,98.2,4385,519,270,7.159259259
Specimen_001_F5_F05_065.fcs,98.1,4137,479,320,5.715625
Specimen_001_F6_F06_066.fcs,99.3,4208,562,0,#DIV/0!
Specimen_001_F7_F07_067.fcs,98.2,4068,546,342,5.149122807
Specimen_001_F8_F08_068.fcs,98.2,4078,625,270,6.394444444
Specimen_001_G1_G01_073.fcs,0,n/a,154,36.5,#VALUE!
Specimen_001_G2_G02_074.fcs,99.1,4537,620,234,8.36965812
Specimen_001_G3_G03_075.fcs,98,4375,606,297,6.345117845
Specimen_001_G4_G04_076.fcs,98.7,4280,571,215,8.625581395
Specimen_001_G5_G05_077.fcs,99.5,4301,496,0,#DIV/0!
Specimen_001_G6_G06_078.fcs,98.6,4239,576,285,6.426315789
Specimen_001_G7_G07_079.fcs,98.8,4375,469,351,5.564102564
Specimen_001_G8_G08_080.fcs,97.8,4127,529,307,5.859934853
Specimen_001_H1_H01_085.fcs,0,n/a,156,38.7,#VALUE!
Specimen_001_H2_H02_086.fcs,98.6,4396,613,324,5.837962963
Specimen_001_H3_H03_087.fcs,98.4,4322,806,227,7.744493392
Specimen_001_H4_H04_088.fcs,98.4,4229,628,234,7.694444444
Specimen_001_H5_H05_089.fcs,98.8,4364,552,331,5.758308157
Specimen_001_H6_H06_090.fcs,98.5,4493,647,287,6.700348432
Specimen_001_H7_H07_091.fcs,98.9,4428,620,296,6.432432432
Specimen_001_H8_H08_092.fcs,97.8,4239,725,192,9.151041667
Mean,86.3,,547,227,
SD,32.9,,175,106,
