Sample:,Mono %(+),Mono MFI(+),Mono MFI(-),Mono rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0,n/a,161,35.3,#VALUE!
Specimen_001_A2_A02_097.fcs,98.2,4291,642,372,4.904569892
Specimen_001_A3_A03_098.fcs,98.4,4385,624,380,4.948684211
Specimen_001_A4_A04_099.fcs,97.8,4218,781,315,5.455555556
Specimen_001_A5_A05_100.fcs,98.2,4168,890,342,4.792397661
Specimen_001_A6_A06_101.fcs,97.2,4107,710,291,5.836769759
Specimen_001_A7_A07_102.fcs,98.1,4188,589,399,4.510025063
Specimen_001_A8_A08_103.fcs,97.5,4029,518,365,4.809589041
Specimen_001_B1_B01_108.fcs,0,n/a,157,37.8,#VALUE!
Specimen_001_B2_B02_109.fcs,97.4,4249,775,268,6.481343284
Specimen_001_B3_B03_110.fcs,97.4,3990,804,206,7.733009709
Specimen_001_B4_B04_111.fcs,97.3,3961,558,331,5.140483384
Specimen_001_B5_B05_112.fcs,97,4158,784,334,5.050898204
Specimen_001_B6_B06_113.fcs,97.8,4188,821,225,7.482222222
Specimen_001_B7_B07_114.fcs,98.5,4158,841,386,4.296632124
Specimen_001_B8_B08_115.fcs,97.7,4009,603,366,4.653005464
Specimen_001_C1_C01_120.fcs,0,n/a,160,37.9,#VALUE!
Specimen_001_C2_C02_121.fcs,96.9,4417,713,401,4.618453865
Specimen_001_C3_C03_122.fcs,98.5,4322,811,371,4.73180593
Specimen_001_C4_C04_123.fcs,98.1,4301,706,304,5.912828947
Specimen_001_C5_C05_124.fcs,96.8,4301,685,361,5.008310249
Specimen_001_C6_C06_125.fcs,98.3,4147,672,442,3.930995475
Specimen_001_C7_C07_126.fcs,97.5,4029,738,285,5.773684211
Specimen_001_C8_C08_127.fcs,97.2,3971,654,392,4.230867347
Specimen_001_D1_D01_132.fcs,0,n/a,154,38.5,#VALUE!
Specimen_001_D2_D02_133.fcs,97.8,4198,624,320,5.584375
Specimen_001_D3_D03_134.fcs,97.6,3942,802,278,5.647482014
Specimen_001_D4_D04_135.fcs,96.8,4218,670,311,5.704180064
Specimen_001_D5_D05_136.fcs,98.7,4218,779,422,4.07464455
Specimen_001_D6_D06_137.fcs,97.9,3904,408,314,5.566878981
Specimen_001_D7_D07_138.fcs,96.4,4208,745,397,4.361460957
Specimen_001_D8_D08_139.fcs,96.9,3904,843,357,4.287114846
Specimen_001_E1_E01_144.fcs,0,n/a,155,38.4,#VALUE!
Specimen_001_E2_E02_145.fcs,97.9,4407,684,389,4.785347044
Specimen_001_E3_E03_146.fcs,97,4270,657,299,6.04180602
Specimen_001_E4_E04_147.fcs,97.4,4137,855,355,4.622535211
Specimen_001_E5_E05_148.fcs,97.3,4396,377,347,5.791066282
Specimen_001_E6_E06_149.fcs,96.4,4208,678,338,5.221893491
Specimen_001_E7_E07_150.fcs,97.3,4208,581,387,4.686046512
Specimen_001_E8_E08_151.fcs,97.6,4048,775,345,4.743478261
Specimen_001_F1_F01_156.fcs,0,n/a,154,38.2,#VALUE!
Specimen_001_F2_F02_157.fcs,98.5,4068,800,295,5.538983051
Specimen_001_F3_F03_158.fcs,97.6,4385,851,385,4.58961039
Specimen_001_F4_F04_159.fcs,96.8,4088,710,402,4.201492537
Specimen_001_F5_F05_160.fcs,96.7,4301,563,375,4.984
Specimen_001_F6_F06_161.fcs,97.8,4029,758,420,3.894047619
Specimen_001_F7_F07_162.fcs,97,4147,654,372,4.694892473
Specimen_001_F8_F08_163.fcs,96.8,3990,688,255,6.474509804
Specimen_001_G1_G01_168.fcs,0,n/a,151,37.4,#VALUE!
Specimen_001_G2_G02_169.fcs,97.5,4280,808,386,4.497409326
Specimen_001_G3_G03_170.fcs,97.6,4078,731,333,5.025525526
Specimen_001_G4_G04_171.fcs,98,4048,830,372,4.325268817
Specimen_001_G5_G05_172.fcs,98.3,4147,621,419,4.207637232
Specimen_001_G6_G06_173.fcs,97,3999,648,321,5.219626168
Specimen_001_G7_G07_174.fcs,97.4,4019,575,395,4.359493671
Specimen_001_G8_G08_175.fcs,97.4,3923,519,256,6.6484375
Specimen_001_H1_H01_180.fcs,0,n/a,152,39.4,#VALUE!
Specimen_001_H2_H02_181.fcs,97.6,4098,702,302,5.622516556
Specimen_001_H3_H03_182.fcs,97.2,4147,897,378,4.298941799
Specimen_001_H4_H04_183.fcs,97.5,4312,743,321,5.559190031
Specimen_001_H5_H05_184.fcs,97.7,4107,710,357,4.757703081
Specimen_001_H6_H06_185.fcs,97.3,4107,589,322,5.462732919
Specimen_001_H7_H07_186.fcs,97.3,4218,695,314,5.609872611
Specimen_001_H8_H08_187.fcs,98.5,4029,448,469,3.817697228
Mean,85.3,,628,309,
SD,32.5,,210,115,
