Sample:,Lymph %(+),Lymph MFI(+),Lymph MFI(-),Lymph rSD(-),Stain Index
Specimen_001_A1_A01_002.fcs,0,n/a,51.4,30.2,#VALUE!
Specimen_001_A2_A02_003.fcs,33.4,36023,86.1,79.3,226.5882724
Specimen_001_A3_A03_002.fcs,33,36901,75.8,74.1,248.4831309
Specimen_001_A4_A04_003.fcs,32.3,35764,75.8,78,228.7705128
Specimen_001_A5_A05_004.fcs,33,35421,74.5,60.5,292.1198347
Specimen_001_A6_A06_005.fcs,32.5,36197,70.6,54.1,333.8853974
Specimen_001_A7_A07_006.fcs,32.7,36372,75.8,71.5,253.8195804
Specimen_001_A8_A08_007.fcs,33.3,36197,77.1,70.9,254.7242595
Specimen_001_B1_B01_012.fcs,0,n/a,50.1,30.2,#VALUE!
Specimen_001_B2_B02_013.fcs,32.3,36459,75.8,78.7,231.1512071
Specimen_001_B3_B03_014.fcs,32.8,35937,79.6,79.9,224.3892365
Specimen_001_B4_B04_015.fcs,32.7,35937,74.5,64.4,278.435559
Specimen_001_B5_B05_016.fcs,33.2,36724,82.2,75.4,242.9827586
Specimen_001_B6_B06_017.fcs,34.3,35082,70.6,51.5,339.9165049
Specimen_001_B7_B07_018.fcs,31.2,35764,73.2,60.5,294.9652893
Specimen_001_B8_B08_019.fcs,30.3,35421,71.9,59.2,298.5565878
Specimen_001_C1_C01_024.fcs,0,n/a,50.1,28.9,#VALUE!
Specimen_001_C2_C02_025.fcs,32.6,36812,80.9,79.3,231.5958386
Specimen_001_C3_C03_026.fcs,32,35937,82.2,79.3,226.0706179
Specimen_001_C4_C04_027.fcs,33,35850,77.1,61.2,292.2622549
Specimen_001_C5_C05_028.fcs,31.4,35678,73.2,68.3,260.6500732
Specimen_001_C6_C06_029.fcs,32.4,36023,77.1,68.9,260.8555878
Specimen_001_C7_C07_030.fcs,33.4,35251,73.2,61.2,287.4003268
Specimen_001_C8_C08_031.fcs,32.7,35764,69.4,54.7,326.2760512
Specimen_001_D1_D01_036.fcs,0,n/a,47.5,30.2,#VALUE!
Specimen_001_D2_D02_037.fcs,31.1,36547,78.4,80.6,226.2320099
Specimen_001_D3_D03_038.fcs,33,35937,80.9,80.6,222.4323821
Specimen_001_D4_D04_039.fcs,32.5,35937,79.6,77.3,231.9366106
Specimen_001_D5_D05_040.fcs,33.1,36547,77.1,76.1,239.6182654
Specimen_001_D6_D06_041.fcs,32,35764,77.1,76.7,232.6395046
Specimen_001_D7_D07_042.fcs,31.1,35937,71.9,63.8,281.0744514
Specimen_001_D8_D08_043.fcs,32.4,35421,71.9,59.9,295.0676127
Specimen_001_E1_E01_048.fcs,0.044,1547,48.8,28.9,25.92041522
Specimen_001_E2_E02_049.fcs,33.6,35678,71.9,63.1,282.1402536
Specimen_001_E3_E03_050.fcs,33.7,36724,82.2,79.9,229.2978723
Specimen_001_E4_E04_051.fcs,34.1,35421,84.8,78,226.5141026
Specimen_001_E5_E05_052.fcs,32.7,35336,73.2,79.3,222.3379571
Specimen_001_E6_E06_053.fcs,32.3,35937,82.2,91.6,195.7139738
Specimen_001_E7_E07_054.fcs,34,35678,75.8,74.1,240.2307692
Specimen_001_E8_E08_055.fcs,33.1,35850,74.5,81.2,220.2924877
Specimen_001_F1_F01_060.fcs,0,n/a,46.2,28.9,#VALUE!
Specimen_001_F2_F02_061.fcs,33.9,35937,71.9,61.8,290.170712
Specimen_001_F3_F03_062.fcs,33.9,35592,70.6,79.2,224.2512626
Specimen_001_F4_F04_063.fcs,33.5,36197,75.8,74.1,243.7327935
Specimen_001_F5_F05_064.fcs,30.9,35764,78.4,78.6,227.0076336
Specimen_001_F6_F06_065.fcs,32.8,35336,65.5,57.9,304.5811744
Specimen_001_F7_F07_066.fcs,33.4,35507,69.4,56.7,312.5008818
Specimen_001_F8_F08_067.fcs,29.6,34746,69.4,56,309.6125
Specimen_001_G1_G01_072.fcs,0,n/a,46.2,29.6,#VALUE!
Specimen_001_G2_G02_073.fcs,34,35592,70.6,83.1,213.7268351
Specimen_001_G3_G03_074.fcs,34,36110,68.1,61.8,291.6011327
Specimen_001_G4_G04_075.fcs,34.8,36547,71.9,79.3,229.981715
Specimen_001_G5_G05_076.fcs,33.5,35507,75.8,76.7,230.9726206
Specimen_001_G6_G06_077.fcs,32.7,36812,71.9,79.9,229.9130163
Specimen_001_G7_G07_078.fcs,33.1,35850,70.6,58.6,305.2849829
Specimen_001_G8_G08_079.fcs,32.6,36372,68.1,57.9,313.5051813
Specimen_001_H1_H01_084.fcs,0,n/a,46.2,30.2,#VALUE!
Specimen_001_H2_H02_085.fcs,33.3,36724,74.5,83.1,220.5144404
Specimen_001_H3_H03_086.fcs,34.6,36635,75.8,87.7,208.4332953
Specimen_001_H4_H04_087.fcs,36.2,35336,78.4,81.8,215.5110024
Specimen_001_H5_H05_088.fcs,34.6,36110,73.2,81.8,220.2738386
Specimen_001_H6_H06_089.fcs,34.5,35678,70.6,79.2,224.7941919
Specimen_001_H7_H07_090.fcs,32.6,34663,71.9,56,308.8491071
Specimen_001_H8_H08_091.fcs,33,35764,71.9,76.7,232.6734029
Mean,28.8,,71.5,66.2,
SD,11,,9.81,16.9,
