Sample:,Lymph %(+),Lymph MFI(+),Lymph MFI(-),Lymph rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0,n/a,50.1,30.8,#VALUE!
Specimen_001_A2_A02_096.fcs,31.4,35082,69.4,56,312.6125
Specimen_001_A3_A03_097.fcs,33.4,35336,70.6,56.7,310.9823633
Specimen_001_A4_A04_098.fcs,33.5,35507,73.2,58,305.4637931
Specimen_001_A5_A05_099.fcs,30.2,35592,71.9,53.4,332.585206
Specimen_001_A6_A06_100.fcs,31.7,36197,74.5,52.2,346.0009579
Specimen_001_A7_A07_101.fcs,34.5,35251,70.6,52.8,333.1477273
Specimen_001_A8_A08_102.fcs,31.3,35937,70.6,54.7,327.8464351
Specimen_001_B1_B01_107.fcs,0,n/a,50.1,28.9,#VALUE!
Specimen_001_B2_B02_108.fcs,32,35678,70.6,53.4,333.4026217
Specimen_001_B3_B03_109.fcs,31,35507,70.6,53.4,331.8014981
Specimen_001_B4_B04_110.fcs,31.9,35082,69.4,51.5,339.9281553
Specimen_001_B5_B05_111.fcs,31.7,35507,66.8,52.1,340.1170825
Specimen_001_B6_B06_112.fcs,35.5,35937,68.1,50.9,352.3467583
Specimen_001_B7_B07_113.fcs,30.8,35592,75.8,57.3,309.9144852
Specimen_001_B8_B08_114.fcs,29.9,35421,69.4,56.7,311.7425044
Specimen_001_C1_C01_119.fcs,0,n/a,47.5,30.2,#VALUE!
Specimen_001_C2_C02_120.fcs,32.6,35507,68.1,56.6,313.0644876
Specimen_001_C3_C03_121.fcs,31.1,33516,71.9,52.8,316.7054924
Specimen_001_C4_C04_122.fcs,29.9,35167,68.1,54.1,324.3890943
Specimen_001_C5_C05_123.fcs,31.1,35251,69.4,56,314.1214286
Specimen_001_C6_C06_124.fcs,31.6,35592,73.2,54.7,324.6691042
Specimen_001_C7_C07_125.fcs,32.1,35167,69.4,50.9,344.7701375
Specimen_001_C8_C08_126.fcs,32.3,34914,70.6,50.2,347.0458167
Specimen_001_D1_D01_131.fcs,0,n/a,50.1,29.6,#VALUE!
Specimen_001_D2_D02_132.fcs,31.7,35764,69.4,52.1,342.5585413
Specimen_001_D3_D03_133.fcs,34,35678,68.1,54.1,329.1118299
Specimen_001_D4_D04_134.fcs,32.6,35764,66.8,56.6,315.3462898
Specimen_001_D5_D05_135.fcs,33.2,34830,71.9,53.4,325.4503745
Specimen_001_D6_D06_136.fcs,32.2,34663,70.6,56,308.8607143
Specimen_001_D7_D07_137.fcs,30.5,35850,73.2,56,319.4357143
Specimen_001_D8_D08_138.fcs,31,35082,69.4,51.5,339.9281553
Specimen_001_E1_E01_143.fcs,0,n/a,48.8,29.6,#VALUE!
Specimen_001_E2_E02_144.fcs,30.1,34663,68.1,59.2,292.1866554
Specimen_001_E3_E03_145.fcs,31.5,35082,66.8,52.8,331.5833333
Specimen_001_E4_E04_146.fcs,30.7,35251,68.1,53.4,329.4279026
Specimen_001_E5_E05_147.fcs,29.9,34167,69.4,51.5,331.0446602
Specimen_001_E6_E06_148.fcs,31.3,35251,69.4,49.6,354.6532258
Specimen_001_E7_E07_149.fcs,32,34580,69.4,53.4,323.1329588
Specimen_001_E8_E08_150.fcs,30.8,35336,69.4,52.8,333.9640152
Specimen_001_F1_F01_155.fcs,0,n/a,46.2,30.8,#VALUE!
Specimen_001_F2_F02_156.fcs,33.6,36023,65.5,52.8,340.5066288
Specimen_001_F3_F03_157.fcs,30.8,35082,66.8,49.6,352.9758065
Specimen_001_F4_F04_158.fcs,30.4,35167,68.1,48.3,363.3426501
Specimen_001_F5_F05_159.fcs,33.8,35336,69.4,51.5,342.3941748
Specimen_001_F6_F06_160.fcs,31.8,36197,68.1,50.9,354.9007859
Specimen_001_F7_F07_161.fcs,32.2,34663,69.4,54.7,316.2120658
Specimen_001_F8_F08_162.fcs,29.7,35507,68.1,49.6,357.2469758
Specimen_001_G1_G01_167.fcs,0,n/a,47.5,29.6,#VALUE!
Specimen_001_G2_G02_168.fcs,33.9,35850,62.9,52.1,343.4462572
Specimen_001_G3_G03_169.fcs,32.7,34998,66.8,52.8,330.7878788
Specimen_001_G4_G04_170.fcs,32.3,35251,64.2,56,314.1678571
Specimen_001_G5_G05_171.fcs,31.9,35082,65.5,54.7,320.0776965
Specimen_001_G6_G06_172.fcs,34,34830,64.2,54.7,317.786106
Specimen_001_G7_G07_173.fcs,32.2,34663,65.5,53.4,323.9466292
Specimen_001_G8_G08_174.fcs,29.8,35082,65.5,50.2,348.7699203
Specimen_001_H1_H01_179.fcs,0,n/a,46.2,29.6,#VALUE!
Specimen_001_H2_H02_180.fcs,33.3,35507,65.5,52.1,340.1295585
Specimen_001_H3_H03_181.fcs,30.9,34497,65.5,52.1,330.4366603
Specimen_001_H4_H04_182.fcs,31,35421,68.1,52.8,334.78125
Specimen_001_H5_H05_183.fcs,34,34331,65.5,50.2,341.2898406
Specimen_001_H6_H06_184.fcs,34.3,34331,66.8,50.8,337.246063
Specimen_001_H7_H07_185.fcs,31.9,35082,69.4,52.8,331.5587121
Specimen_001_H8_H08_186.fcs,32.2,34830,69.4,55.4,313.7238267
Mean,27.9,,66.2,50.4,
SD,10.7,,7.28,8.12,
