"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-"
1,"Specimen_001_A1_A01_001.fcs",34667.826171875,63.4400024414062,7730.02422333985,33.5499992370605
2,"Specimen_001_A2_A02_192.fcs",34191.72265625,76.8600006103516,8359.35056757812,57.0350036621094
3,"Specimen_001_A3_A03_193.fcs",33695.791015625,78.995002746582,8784.78103095703,57.3790124306679
4,"Specimen_001_A4_A04_194.fcs",33323.69140625,83.2649993896484,9196.42244482422,64.3550004959106
5,"Specimen_001_A5_A05_195.fcs",32817.390625,77.4700012207031,9507.49716572265,55.8150024414062
6,"Specimen_001_A6_A06_196.fcs",32568.81640625,73.2000045776367,9494.22580908203,60.196267010498
7,"Specimen_001_A7_A07_197.fcs",32267.169921875,70.7600021362305,8560.8178265625,50.9350023269653
8,"Specimen_001_A8_A08_198.fcs",23313.5908203125,69.8450012207031,7050.31665400391,52.432517603302
9,"Specimen_001_B1_B01_203.fcs",46785.171875,66.185001373291,0,42.0900001525879
10,"Specimen_001_B2_B02_204.fcs",33523.76953125,80.5200042724609,8712.95010449219,76.3170070317745
11,"Specimen_001_B3_B03_205.fcs",33148.62109375,73.8100051879883,8946.62114726562,70.3545966842651
12,"Specimen_001_B4_B04_206.fcs",33522.55078125,78.0800018310547,8704.77204667968,63.8300339706421
13,"Specimen_001_B5_B05_207.fcs",32491.041015625,73.2000045776367,8825.09336582031,58.9488767623901
14,"Specimen_001_B6_B06_208.fcs",32156.76171875,70.1500015258789,8679.00282109375,64.3275552368164
15,"Specimen_001_B7_B07_209.fcs",32743.580078125,76.25,9130.21911054687,53.9849987030029
16,"Specimen_001_B8_B08_210.fcs",33289.529296875,70.4550018310547,8102.65910058594,58.6299388969421
17,"Specimen_001_C1_C01_215.fcs",37318.88671875,73.8100051879883,10904.4650043945,57.0350036621094
18,"Specimen_001_C2_C02_216.fcs",33727.20703125,76.5550003051758,9326.75461816406,61.4169096855163
19,"Specimen_001_C3_C03_217.fcs",32983.921875,70.7600021362305,8548.40827539062,57.6711084838867
20,"Specimen_001_C4_C04_218.fcs",32423.6357421875,75.0299987792969,8671.12386962891,63.2282369148254
21,"Specimen_001_C5_C05_219.fcs",32462.9814453125,73.8100051879883,9449.9061743164,56.6540563735961
22,"Specimen_001_C6_C06_220.fcs",32123.8203125,75.0299987792969,8229.28665859375,55.8872551063538
23,"Specimen_001_C7_C07_221.fcs",32768.591796875,79.3000030517578,9023.00883164063,57.4991516752243
24,"Specimen_001_C8_C08_222.fcs",32438.88671875,73.8100051879883,9296.53218144531,61.7592415614128
25,"Specimen_001_D1_D01_227.fcs",NA,50.0200004577637,NA,29.8900012969971
26,"Specimen_001_D2_D02_228.fcs",32698.74609375,75.6399993896484,9243.40464326172,64.2667931150436
27,"Specimen_001_D3_D03_229.fcs",33576.83984375,81.1300048828125,8599.98576894531,71.3700037002563
28,"Specimen_001_D4_D04_230.fcs",32666.720703125,75.0299987792969,8976.58317138672,57.7311935440063
29,"Specimen_001_D5_D05_231.fcs",32516.9658203125,75.0299987792969,9529.91142519531,59.1542029678345
30,"Specimen_001_D6_D06_232.fcs",33389.5703125,74.4199981689453,8946.86928710938,60.6950025558472
31,"Specimen_001_D7_D07_233.fcs",33230.97265625,76.8600006103516,8697.23612109375,60.1036078596115
32,"Specimen_001_D8_D08_234.fcs",32234.23046875,70.7600021362305,8898.13775878906,59.1162914299011
33,"Specimen_001_E1_E01_239.fcs",1667.74005126953,76.8600006103516,16592.8189857788,450.010014605713
34,"Specimen_001_E2_E02_240.fcs",32923.53125,77.4700012207031,8646.49429648438,72.2026526260376
35,"Specimen_001_E3_E03_241.fcs",33141.30078125,72.5900039672852,8687.21510810547,56.0802888458252
36,"Specimen_001_E4_E04_242.fcs",33064.74609375,66.4899978637695,8869.14705644531,55.0661380531311
37,"Specimen_001_E5_E05_243.fcs",32913.466796875,70.1500015258789,8461.57161533203,57.9500007629395
38,"Specimen_001_E6_E06_244.fcs",32803.97265625,72.5900039672852,8793.06871171875,59.1700000762939
39,"Specimen_001_E7_E07_245.fcs",33416.41015625,74.7249984741211,9104.3823203125,63.1045640594482
40,"Specimen_001_E8_E08_246.fcs",33478.01953125,71.370002746582,8002.3627890625,57.0127653251648
41,"Specimen_001_F1_F01_251.fcs",NA,51.8500022888184,NA,29.2800025939941
42,"Specimen_001_F2_F02_252.fcs",32214.1005859375,72.5900039672852,8422.75794589843,58.5600023269653
43,"Specimen_001_F3_F03_253.fcs",32022.560546875,73.2000045776367,8713.07313164062,57.9500026702881
44,"Specimen_001_F4_F04_254.fcs",33507.30078125,73.2000045776367,9639.71523525391,61.9866788482666
45,"Specimen_001_F5_F05_255.fcs",32376.970703125,71.370002746582,8433.41493378906,59.649309009552
46,"Specimen_001_F6_F06_256.fcs",32700.271484375,69.5400009155273,8654.37288125,59.7800006866455
47,"Specimen_001_F7_F07_257.fcs",32439.19140625,73.2000045776367,8998.78775195312,59.1700019836426
48,"Specimen_001_F8_F08_258.fcs",33212.0625,76.25,8840.73689355468,65.5749998092651
49,"Specimen_001_G1_G01_263.fcs",28620.58984375,50.6300010681152,0,30.4999990463257
50,"Specimen_001_G2_G02_264.fcs",33276.72265625,71.370002746582,9395.96113613281,59.3010301147461
51,"Specimen_001_G3_G03_265.fcs",32642.931640625,76.8600006103516,8492.81447382812,61.6297674911499
52,"Specimen_001_G4_G04_266.fcs",32863.75,70.7600021362305,8521.15753613281,57.0734327468872
53,"Specimen_001_G5_G05_267.fcs",32998.255859375,72.5900039672852,8156.43938818359,56.4250001907349
54,"Specimen_001_G6_G06_268.fcs",32864.666015625,72.5900039672852,9295.80155654297,60.0850019454956
55,"Specimen_001_G7_G07_269.fcs",32319.630859375,72.5900039672852,9207.17148632812,54.9821667007446
56,"Specimen_001_G8_G08_270.fcs",32384.900390625,69.5400009155273,9459.86482207031,53.3750038146973
57,"Specimen_001_H1_H01_275.fcs",NA,46.3600006103516,NA,28.9750003814697
58,"Specimen_001_H2_H02_276.fcs",34412.845703125,73.2000045776367,8754.98719257812,58.2550010681152
59,"Specimen_001_H3_H03_277.fcs",33859.26953125,74.1150016784668,8173.44363964843,57.9500007629395
60,"Specimen_001_H4_H04_278.fcs",32674.3466796875,73.8100051879883,8769.7067890625,57.4366850981712
61,"Specimen_001_H5_H05_279.fcs",33925.759765625,71.370002746582,8741.02190478516,59.1700000762939
62,"Specimen_001_H6_H06_280.fcs",34106.3203125,71.0650024414062,8709.45920546875,57.4093267219543
63,"Specimen_001_H7_H07_281.fcs",32805.49609375,67.7099990844727,9211.46245175781,59.9967936109543
64,"Specimen_001_H8_H08_282.fcs",32689.291015625,67.0999984741211,8695.72092519531,51.2400016784668
