"X","Y","Z"
1,"A",2730
2,"A",1569
3,"A",1527
4,"A",1539
5,"A",1238
6,"A",1493
7,"A",1440
8,"A",1290
9,"A",2
10,"A",1
11,"A",0
12,"A",0
1,"B",1855
2,"B",1485
3,"B",1447
4,"B",1595
5,"B",1473
6,"B",1495
7,"B",1390
8,"B",1459
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",1586
2,"C",1360
3,"C",1298
4,"C",1322
5,"C",977
6,"C",1170
7,"C",1366
8,"C",1289
9,"C",0
10,"C",0
11,"C",1
12,"C",0
1,"D",1773
2,"D",1487
3,"D",1222
4,"D",1233
5,"D",1256
6,"D",1226
7,"D",1360
8,"D",1307
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",1663
2,"E",1516
3,"E",1067
4,"E",1296
5,"E",1150
6,"E",1232
7,"E",1206
8,"E",1168
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",1596
2,"F",1248
3,"F",1055
4,"F",1133
5,"F",1167
6,"F",1063
7,"F",1053
8,"F",1038
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",1342
2,"G",1324
3,"G",1194
4,"G",1293
5,"G",1168
6,"G",1271
7,"G",1174
8,"G",1297
9,"G",0
10,"G",2
11,"G",0
12,"G",0
1,"H",1516
2,"H",1382
3,"H",1438
4,"H",1473
5,"H",1329
6,"H",1571
7,"H",1243
8,"H",1027
9,"H",0
10,"H",0
11,"H",1
12,"H",0
