"X","Y","Z"
1,"A",3580
2,"A",2588
3,"A",2700
4,"A",2492
5,"A",2551
6,"A",2554
7,"A",2517
8,"A",2376
9,"A",0
10,"A",0
11,"A",0
12,"A",0
1,"B",2261
2,"B",2111
3,"B",2198
4,"B",2196
5,"B",1929
6,"B",1997
7,"B",1985
8,"B",1977
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",2564
2,"C",2097
3,"C",2184
4,"C",2091
5,"C",1990
6,"C",1887
7,"C",1921
8,"C",1960
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",2424
2,"D",2255
3,"D",1969
4,"D",2052
5,"D",1984
6,"D",1945
7,"D",1870
8,"D",1976
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2398
2,"E",2103
3,"E",1935
4,"E",1881
5,"E",1927
6,"E",1893
7,"E",1748
8,"E",2080
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",2457
2,"F",2149
3,"F",1771
4,"F",1776
5,"F",1688
6,"F",1751
7,"F",1858
8,"F",2230
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",2301
2,"G",2032
3,"G",1837
4,"G",1925
5,"G",1905
6,"G",1736
7,"G",2046
8,"G",1929
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",2316
2,"H",1892
3,"H",1817
4,"H",1824
5,"H",1752
6,"H",1626
7,"H",1834
8,"H",1822
9,"H",0
10,"H",0
11,"H",0
12,"H",0
