"X","Y","Z"
1,"A",2515
2,"A",2391
3,"A",2429
4,"A",2472
5,"A",2438
6,"A",2478
7,"A",2392
8,"A",2629
9,"A",1
10,"A",3
11,"A",4
12,"A",2
1,"B",2515
2,"B",2389
3,"B",2407
4,"B",2479
5,"B",2313
6,"B",2082
7,"B",2060
8,"B",2203
9,"B",5
10,"B",14
11,"B",10
12,"B",20
1,"C",2514
2,"C",2516
3,"C",2527
4,"C",2517
5,"C",2403
6,"C",2480
7,"C",2292
8,"C",2443
9,"C",3
10,"C",12
11,"C",18
12,"C",16
1,"D",2580
2,"D",2631
3,"D",2561
4,"D",2421
5,"D",2441
6,"D",2415
7,"D",2523
8,"D",2183
9,"D",11
10,"D",14
11,"D",9
12,"D",11
1,"E",2244
2,"E",2310
3,"E",2293
4,"E",2218
5,"E",2206
6,"E",2288
7,"E",2408
8,"E",2394
9,"E",5
10,"E",19
11,"E",8
12,"E",12
1,"F",2162
2,"F",1936
3,"F",1803
4,"F",1981
5,"F",1995
6,"F",1723
7,"F",1993
8,"F",1688
9,"F",5
10,"F",17
11,"F",17
12,"F",6
1,"G",2116
2,"G",2200
3,"G",2370
4,"G",2363
5,"G",2353
6,"G",2263
7,"G",2315
8,"G",2480
9,"G",1
10,"G",0
11,"G",0
12,"G",4
1,"H",2093
2,"H",2307
3,"H",2226
4,"H",2132
5,"H",2152
6,"H",2022
7,"H",1907
8,"H",2080
9,"H",0
10,"H",1
11,"H",1
12,"H",0
