"X","Y","Z"
1,"A",1735
2,"A",1767
3,"A",1602
4,"A",1687
5,"A",1784
6,"A",1732
7,"A",1736
8,"A",1788
9,"A",1
10,"A",1
11,"A",1
12,"A",0
1,"B",1680
2,"B",1661
3,"B",1854
4,"B",1770
5,"B",1761
6,"B",1577
7,"B",1625
8,"B",1576
9,"B",6
10,"B",4
11,"B",3
12,"B",1
1,"C",1623
2,"C",1457
3,"C",1420
4,"C",1638
5,"C",1555
6,"C",1488
7,"C",1462
8,"C",1527
9,"C",1
10,"C",2
11,"C",1
12,"C",1
1,"D",1539
2,"D",1554
3,"D",1499
4,"D",1506
5,"D",1453
6,"D",1562
7,"D",1551
8,"D",1460
9,"D",1
10,"D",2
11,"D",0
12,"D",3
1,"E",1571
2,"E",1505
3,"E",1503
4,"E",1623
5,"E",1726
6,"E",1655
7,"E",1753
8,"E",1737
9,"E",2
10,"E",0
11,"E",0
12,"E",1
1,"F",2032
2,"F",1899
3,"F",1748
4,"F",1665
5,"F",1554
6,"F",1503
7,"F",1788
8,"F",1603
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",1994
2,"G",1930
3,"G",1883
4,"G",1866
5,"G",1897
6,"G",1883
7,"G",1873
8,"G",2031
9,"G",1
10,"G",0
11,"G",0
12,"G",0
1,"H",1975
2,"H",2113
3,"H",2025
4,"H",1964
5,"H",1903
6,"H",2021
7,"H",1854
8,"H",1794
9,"H",2
10,"H",1
11,"H",0
12,"H",1
