"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
1,"Specimen_001_A1_A01_001.fcs",NA,53.0699996948242,NA,30.1949996948242,NA,NA
2,"Specimen_001_A2_A02_002.fcs",31551.03125,61,8832.60623681641,48.6768410675049,323.460094774122,517.230020491803
3,"Specimen_001_A3_A03_003.fcs",33126.66015625,62.2200012207031,9068.09951308594,53.9849996566772,306.237291518994,532.41175677167
4,"Specimen_001_A4_A04_004.fcs",33420.6796875,65.8800048828125,9383.12141992188,64.0499982833862,260.380956881844,507.296253953666
5,"Specimen_001_A5_A05_005.fcs",34171.58984375,71.9800033569336,9378.11237675781,75.9450002908707,224.502006121476,474.737263824514
6,"Specimen_001_A6_A06_006.fcs",34556.501953125,79.9100036621094,8532.39965605468,100.345002174377,171.790279547506,432.442752715209
7,"Specimen_001_A7_A07_007.fcs",33663.15625,89.6700057983398,9444.63976542969,138.663497229004,121.061010702603,375.411554290579
8,"Specimen_001_A8_A08_008.fcs",35118.3125,134.809997558594,9535.26794160156,206.164029733276,84.8438560007319,260.502285705748
9,"Specimen_001_B1_B01_013.fcs",NA,118.439994812012,NA,118.439998805523,NA,NA
10,"Specimen_001_B2_B02_014.fcs",7195.01977539062,139.019996643066,3730.07351000976,136.523133059454,25.8417735537712,51.7552866431426
11,"Specimen_001_B3_B03_015.fcs",12358.080078125,151.619995117188,6321.81330888672,151.794974381065,40.2070626276624,81.5069283478964
12,"Specimen_001_B4_B04_016.fcs",18457.3203125,162.119995117188,8832.20559638672,175.822454364514,52.0274852933553,113.849746289211
13,"Specimen_001_B5_B05_017.fcs",26651.5185546875,164.639999389648,11280.9795057617,196.522114881057,67.3890533167955,161.877542841896
14,"Specimen_001_B6_B06_018.fcs",33369.83984375,180.599990844727,14010.083328125,261.476539582825,63.4650433760853,184.772101524857
15,"Specimen_001_B7_B07_019.fcs",39807.59765625,205.799987792969,15854.3390375,359.706796569824,55.0473302785784,193.428571513307
16,"Specimen_001_B8_B08_020.fcs",45909.359375,255.359985351562,19385.2887495117,435.497898352051,52.4158664857004,179.78290260236
17,"Specimen_001_C1_C01_025.fcs",NA,161,NA,69.6499977111816,NA,NA
18,"Specimen_001_C2_C02_026.fcs",4471.60009765625,161,2829.84379748535,137.550003051758,15.6692112032678,27.7739136500388
19,"Specimen_001_C3_C03_027.fcs",6979.69970703125,167.300003051758,4040.54517353516,200.199996948242,17.0139855340275,41.7196627597905
20,"Specimen_001_C4_C04_028.fcs",11468.7998046875,178.5,6579.09550634766,287.700000762939,19.6216541097449,64.2509792979692
21,"Specimen_001_C5_C05_029.fcs",15288.7001953125,192.150001525879,7925.46981362305,406.44662937088,18.5713807211956,79.5664849019187
22,"Specimen_001_C6_C06_030.fcs",19525.798828125,227.849998474121,9687.13254179687,591.679796955871,16.307763869019,85.6958479652688
23,"Specimen_001_C7_C07_031.fcs",21725.548828125,351.75,14591.8190011719,860.069664035034,12.4256206920782,61.7641757729211
24,"Specimen_001_C8_C08_032.fcs",23474.5,436.799987792969,17076.0541958008,1239.04709927979,9.29653926214671,53.7419886813877
25,"Specimen_001_D1_D01_037.fcs",2838.419921875,18.7199993133545,1604.32502709961,83.4599938392639,16.8925241475103,151.625001388228
26,"Specimen_001_D2_D02_038.fcs",46666.6171875,16.3799991607666,13688.0290996094,53.4798413953781,436.147864047058,2848.99997426593
27,"Specimen_001_D3_D03_039.fcs",47370.95703125,24.1799983978271,13394.1134960937,69.0299987792969,342.943487397628,1959.0967812267
28,"Specimen_001_D4_D04_040.fcs",49753.857421875,23.3999996185303,13120.1936287109,95.8339929779053,259.461470178551,2126.23325781917
29,"Specimen_001_D5_D05_041.fcs",48607.2578125,31.1999988555908,12574.1099203125,120.899997711182,200.893543148313,1557.92498703217
30,"Specimen_001_D6_D06_042.fcs",48752.33984375,28.0799980163574,13236.3602421875,168.590989553833,144.504341467714,1736.19456152918
31,"Specimen_001_D7_D07_043.fcs",48599.068359375,2.33999991416931,14209.6171101563,261.912091835022,92.7729758847328,20768.8333940078
32,"Specimen_001_D8_D08_044.fcs",48550.31640625,-282.749984741211,13881.6613046875,321.842602782249,75.8648264226698,-171.707582763218
33,"Specimen_001_E1_E01_049.fcs",NA,64.6600036621094,NA,40.870002746582,NA,NA
34,"Specimen_001_E2_E02_050.fcs",32637.13671875,63.4400024414062,8816.65507792969,53.6800003051758,303.406264261588,514.456738063558
35,"Specimen_001_E3_E03_051.fcs",34414.98046875,61.6100006103516,9119.40638183594,56.4966452392578,304.030180222706,558.594061480462
36,"Specimen_001_E4_E04_052.fcs",34099.609375,70.7600021362305,9218.68689648437,67.1000022888184,253.568168495684,481.905149032498
37,"Specimen_001_E5_E05_053.fcs",33781.19140625,67.0999984741211,8799.95557763672,69.1671709531784,243.714546533919,503.445486951518
38,"Specimen_001_E6_E06_054.fcs",33686.03125,81.1300048828125,9175.79892373047,95.2962743540764,176.318022256868,415.210516733698
