"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
1,"Specimen_001_A1_A01_001.fcs",NA,51.2400016784668,NA,29.2800025939941,NA,NA
2,"Specimen_001_A2_A02_002.fcs",31215.5302734375,66.4899978637695,10317.851021875,78.0800018310547,199.468747086945,469.477083416284
3,"Specimen_001_A3_A03_003.fcs",32005.7861328125,70.4550018310547,10239.8394067383,79.6050019264221,200.586209146122,454.272731545161
4,"Specimen_001_A4_A04_004.fcs",32048.181640625,74.4199981689453,10107.0116564453,77.294323114872,206.831241635546,430.639376903376
5,"Specimen_001_A5_A05_005.fcs",32451.390625,71.9800033569336,9944.7331625,85.2844648779869,189.831821469285,450.838970708023
6,"Specimen_001_A6_A06_006.fcs",31720.916015625,66.4899978637695,10299.5488698242,70.5534875254571,224.329279302739,477.078012254077
7,"Specimen_001_A7_A07_007.fcs",32078.0703125,70.1500015258789,9345.68691171875,70.3983666122436,227.334253984007,457.278255377744
8,"Specimen_001_A8_A08_008.fcs",30974.5810546875,70.7600021362305,10043.8389628906,74.7406769080639,206.740307493904,437.741381000156
9,"Specimen_001_B1_B01_013.fcs",NA,63.4400024414062,NA,42.3950023651123,NA,NA
10,"Specimen_001_B2_B02_014.fcs",32072.8857421875,70.1500015258789,9277.62864013672,78.749417884922,203.193474950049,457.204348461141
11,"Specimen_001_B3_B03_015.fcs",32629.5107421875,70.7600021362305,9927.50473730468,79.2287843579948,205.472991942769,461.129306912225
12,"Specimen_001_B4_B04_016.fcs",33044.921875,73.8100051879883,8957.65300742187,78.9950041770935,208.691120490964,447.702473273605
13,"Specimen_001_B5_B05_017.fcs",31826.140625,78.0800018310547,8750.3723171875,84.3782189157546,188.129478383912,407.60937344576
14,"Specimen_001_B6_B06_018.fcs",33133.98046875,72.2850036621094,9127.76893193359,74.2868673238754,222.527188560434,458.379730097715
15,"Specimen_001_B7_B07_019.fcs",33345.95703125,72.8950042724609,9224.00415820312,77.6151543287516,214.346427026635,457.451883898823
16,"Specimen_001_B8_B08_020.fcs",31994.8056640625,71.9800033569336,9490.8087703125,88.2796569283009,180.805107153014,444.495751207555
17,"Specimen_001_C1_C01_025.fcs",NA,67.7099990844727,NA,53.0699987411499,NA,NA
18,"Specimen_001_C2_C02_026.fcs",33126.05078125,72.5900039672852,9941.4279649414,70.4550044536591,234.571419259673,456.34452363688
19,"Specimen_001_C3_C03_027.fcs",32511.169921875,73.2000045776367,10255.9392578125,81.4121279090643,199.220747267102,444.141637824535
20,"Specimen_001_C4_C04_028.fcs",32334.271484375,70.7600021362305,9352.55151855469,82.7033471122384,195.055657411624,456.956903733885
21,"Specimen_001_C5_C05_029.fcs",32685.021484375,73.8100051879883,9098.58121191406,84.1799991130829,193.699286188985,442.826435266179
22,"Specimen_001_C6_C06_030.fcs",32045.740234375,73.2000045776367,9937.34392285156,73.8099989891052,216.586781382538,437.783309157951
23,"Specimen_001_C7_C07_031.fcs",31656.560546875,69.5400009155273,10089.4058246094,69.1387153518676,228.432220538114,455.228072046322
24,"Specimen_001_C8_C08_032.fcs",31315.5703125,69.5400009155273,9793.56606240235,72.590000629425,215.222689355637,450.324559968587
25,"Specimen_001_D1_D01_037.fcs",2833.44995117188,65.5750045776367,0,52.1550045013428,26.5350849171433,43.2092985646268
26,"Specimen_001_D2_D02_038.fcs",33383.775390625,73.2000045776367,9604.99032451172,79.866205363059,208.539865107042,456.062476816075
27,"Specimen_001_D3_D03_039.fcs",31358.880859375,70.4550018310547,9586.33249316406,79.3000027537346,197.278844710194,445.090909720945
28,"Specimen_001_D4_D04_040.fcs",32305.6005859375,71.370002746582,9438.08229052734,67.7775922916412,237.794155068904,452.649563439797
29,"Specimen_001_D5_D05_041.fcs",33284.0390625,70.1500015258789,9067.5192734375,89.3339213688373,185.897409136683,474.469541532672
30,"Specimen_001_D6_D06_042.fcs",32455.05078125,73.8100051879883,8843.29861328125,101.974861851501,158.770701857956,439.71072347969
31,"Specimen_001_D7_D07_043.fcs",32924.140625,70.1500015258789,9995.14505449219,69.1269726861477,237.635103540833,469.339129135357
32,"Specimen_001_D8_D08_044.fcs",31971.9306640625,73.2000045776367,9889.56231269531,71.9758529685974,221.593279855968,436.774981757723
33,"Specimen_001_E1_E01_049.fcs",1873.92004394531,67.7099990844727,0,64.6600027084351,13.9669808939338,27.6756766989093
34,"Specimen_001_E2_E02_050.fcs",32736.87109375,72.5900039672852,9993.1974078125,76.7484921062231,212.80080033738,450.983183697081
35,"Specimen_001_E3_E03_051.fcs",32647.810546875,68.3199996948242,9153.07143603515,71.6072889838219,227.487250317079,477.866081567742
36,"Specimen_001_E4_E04_052.fcs",33033.33203125,74.7249984741211,9738.50296738281,79.9968368661225,205.999439002402,442.065342332395
37,"Specimen_001_E5_E05_053.fcs",31738.91015625,74.4199981689453,10228.0663134766,82.194819802475,192.618526533515,426.483619150293
38,"Specimen_001_E6_E06_054.fcs",33044.921875,72.5900039672852,9516.63787402343,91.8608782684326,179.468847307785,455.226891706642
39,"Specimen_001_E7_E07_055.fcs",33359.375,79.3000030517578,8847.30189853515,90.947679000473,182.962750466536,420.673060734019
40,"Specimen_001_E8_E08_056.fcs",31177.7109375,67.0999984741211,10607.336875,74.0588848683834,210.039693375854,464.645479083349
41,"Specimen_001_F1_F01_061.fcs",2421.09008789062,59.1700019836426,1384.45844510498,44.1852607490539,26.7274657415884,40.9175258868494
42,"Specimen_001_F2_F02_062.fcs",32043.30078125,76.8600006103516,9780.35266933593,78.9950024485588,202.332045001556,416.904768758672
43,"Specimen_001_F3_F03_063.fcs",31466.8515625,69.8450012207031,10398.6093359375,71.3699994087219,219.959414469621,450.524031964262
44,"Specimen_001_F4_F04_064.fcs",32564.240234375,70.1500015258789,9249.33483544922,82.0595229046106,197.990977053459,464.20868889592
45,"Specimen_001_F5_F05_065.fcs",32706.37109375,65.2700042724609,11134.5090859375,66.2618599896431,246.30383975472,501.093441900534
46,"Specimen_001_F6_F06_066.fcs",32403.810546875,70.7600021362305,9040.75026855469,69.3218368198395,233.209707272826,457.939649075896
47,"Specimen_001_F7_F07_067.fcs",32287.91015625,64.9650039672852,9720.40921054687,70.9926267630577,226.945716911059,497.004666889722
48,"Specimen_001_F8_F08_068.fcs",31354.6103515625,72.2850036621094,10261.3899206055,73.3463069107771,213.25085519271,433.763695968353
49,"Specimen_001_G1_G01_073.fcs",1621.38000488281,65.2700042724609,218.011296899414,100.955005645752,7.70694821250714,24.8411199440799
50,"Specimen_001_G2_G02_074.fcs",31501.009765625,71.9800033569336,9139.168596875,79.9100039601326,196.652660522631,437.635569554202
51,"Specimen_001_G3_G03_075.fcs",31781,64.9650039672852,9796.87195742187,66.2548443756699,239.348800037929,489.201848059675
52,"Specimen_001_G4_G04_076.fcs",31871.890625,67.0999984741211,9939.43572578124,68.90188070755,230.797695940401,474.990929206835
53,"Specimen_001_G5_G05_077.fcs",31088.650390625,76.8600006103516,10756.5238671875,87.8400030732155,176.524301599614,404.484128854378
54,"Specimen_001_G6_G06_078.fcs",31610.505859375,67.0999984741211,9013.65192304687,71.5256457111597,220.504167052765,471.095478065718
55,"Specimen_001_G7_G07_079.fcs",30268.5048828125,70.1500015258789,9604.71249609375,75.0299996733665,201.241870003674,431.482597639662
56,"Specimen_001_G8_G08_080.fcs",31432.080078125,71.370002746582,9101.180196875,75.3349990844727,208.14170343464,440.410240556286
57,"Specimen_001_H1_H01_085.fcs",12313.4599609375,62.2200012207031,4060.26738046875,58.560001373291,104.604163869645,197.901956273834
58,"Specimen_001_H2_H02_086.fcs",30293.2109375,76.25,10176.68855,93.0250039100647,162.413112966452,397.288012295082
59,"Specimen_001_H3_H03_087.fcs",31162.765625,67.0999984741211,9568.83232089844,72.9392536178589,213.161391734561,464.422747148329
60,"Specimen_001_H4_H04_088.fcs",32472.130859375,67.7099990844727,9396.72877851562,66.6882189926147,242.954612897063,479.576595753072
61,"Specimen_001_H5_H05_089.fcs",32401.98046875,73.8100051879883,8915.977246875,83.2025412416458,194.273936715893,438.991711031922
62,"Specimen_001_H6_H06_090.fcs",31625.451171875,65.8800048828125,9951.6800421875,67.4497747648,233.948677197527,480.046278504843
63,"Specimen_001_H7_H07_091.fcs",31753.24609375,73.8100051879883,9163.54066845703,87.5400017312526,180.942628867073,430.202463919044
