"X","Y","Z"
1,"A",2091
2,"A",1802
3,"A",1574
4,"A",1628
5,"A",1690
6,"A",1675
7,"A",1631
8,"A",1518
9,"A",0
10,"A",16
11,"A",0
12,"A",1
1,"B",2174
2,"B",2054
3,"B",1814
4,"B",1813
5,"B",1836
6,"B",1166
7,"B",1820
8,"B",1854
9,"B",1
10,"B",1
11,"B",1
12,"B",0
1,"C",1911
2,"C",1759
3,"C",1596
4,"C",1594
5,"C",1512
6,"C",1577
7,"C",1620
8,"C",1556
9,"C",5
10,"C",5
11,"C",11
12,"C",3
1,"D",1865
2,"D",1550
3,"D",1478
4,"D",1302
5,"D",1436
6,"D",1499
7,"D",1381
8,"D",1424
9,"D",0
10,"D",1
11,"D",3
12,"D",1
1,"E",1556
2,"E",1275
3,"E",1193
4,"E",1327
5,"E",1150
6,"E",1171
7,"E",1125
8,"E",1105
9,"E",0
10,"E",0
11,"E",1
12,"E",0
1,"F",1812
2,"F",1718
3,"F",1577
4,"F",1595
5,"F",1473
6,"F",1502
7,"F",1445
8,"F",1451
9,"F",0
10,"F",1
11,"F",1
12,"F",0
1,"G",1708
2,"G",1563
3,"G",1402
4,"G",1390
5,"G",1328
6,"G",1396
7,"G",1372
8,"G",1526
9,"G",2
10,"G",0
11,"G",1
12,"G",0
1,"H",1984
2,"H",1717
3,"H",1748
4,"H",1694
5,"H",1513
6,"H",1512
7,"H",1637
8,"H",1375
9,"H",0
10,"H",1
11,"H",4
12,"H",0
